SRX1781898	TFs and others	Rad21	Blood	Macrophages	56965	1619/2075	208/764	-135.307	-130.996	2.86589
SRX3637436	TFs and others	Rela	Blood	Macrophages	44019	1632/2075	228/764	-126.013	-122.003	2.63549
SRX3637368	TFs and others	Usf2	Blood	Macrophages	57190	1776/2075	301/764	-124.231	-120.397	2.17246
SRX3637435	TFs and others	Rela	Blood	Macrophages	51417	1664/2075	248/764	-122.476	-118.864	2.47045
SRX3637437	TFs and others	Rela	Blood	Macrophages	36403	1629/2075	240/764	-117.51	-114.044	2.49911
SRX3637434	TFs and others	Rela	Blood	Macrophages	54830	1564/2075	221/764	-111.842	-108.485	2.60567
SRX10636466	TFs and others	Tbx21	Blood	Natural killer cells	5262	117/2075	323/764	-111.48	-108.169	0.13337
SRX3637296	TFs and others	Rela	Blood	Macrophages	30067	1517/2075	204/764	-110.527	-107.257	2.73798
SRX17156728	TFs and others	Hdac3	Blood	Bone Marrow Cells	25880	1240/2075	114/764	-107.193	-103.961	4.0049
SRX17156730	TFs and others	Hdac3	Blood	Bone Marrow Cells	60938	1510/2075	207/764	-107.005	-103.808	2.68585
SRX8379016	TFs and others	Ep300	Blood	Macrophages	18787	1367/2075	156/764	-106.198	-103.033	3.22641
SRX3637371	TFs and others	Usf2	Blood	Macrophages	37700	1567/2075	233/764	-105.358	-102.223	2.47621
SRX8379017	TFs and others	Ep300	Blood	Macrophages	19891	1413/2075	174/764	-104.992	-101.885	2.98998
SRX3637487	TFs and others	Rela	Blood	Macrophages	32563	1483/2075	201/764	-104.287	-101.206	2.71657
SRX338021	TFs and others	Runx3	Blood	Natural killer cells	5327	185/2075	352/764	-99.4181	-96.3621	0.19351
SRX8245920	TFs and others	Nr1h2	Blood	Macrophages	25338	1167/2075	108/764	-96.6232	-93.6092	3.97853
SRX821802	TFs and others	Nr3c1	Adipocyte	White adipocytes	100992	1583/2075	255/764	-96.6195	-93.6092	2.28568
SRX8245936	TFs and others	Ep300	Blood	Macrophages	17708	1054/2075	79/764	-95.6031	-92.614	4.91234
SRX9311783	TFs and others	Stat6	Blood	Macrophages	38546	1150/2075	108/764	-93.2164	-90.2475	3.92057
SRX8428358	TFs and others	Spi1	Blood	Monocytes	39298	1266/2075	145/764	-91.8099	-88.8603	3.2147
SRX17156755	TFs and others	Spi1	Blood	Bone Marrow Cells	50891	1163/2075	115/764	-91.0959	-88.1648	3.72355
SRX319890	TFs and others	Rela	Blood	Macrophages	48120	1313/2075	162/764	-91.0049	-88.0915	2.98418
SRX17156754	TFs and others	Spi1	Blood	Bone Marrow Cells	44517	1075/2075	91/764	-90.7496	-87.8533	4.34953
SRX1613082	TFs and others	Ep300	Blood	CD8+ T cells	4139	119/2075	288/764	-90.2603	-87.3804	0.152135
SRX3637298	TFs and others	Spi1	Blood	Macrophages	39276	1225/2075	136/764	-89.4822	-86.618	3.31644
SRX9311834	TFs and others	Spi1	Blood	Macrophages	45717	1243/2075	142/764	-89.2983	-86.4494	3.22298
SRX9311825	TFs and others	Spi1	Blood	Macrophages	48378	1233/2075	139/764	-89.0675	-86.2333	3.26606
SRX1465582	TFs and others	Spi1	Blood	Macrophages	44187	1260/2075	148/764	-88.8958	-86.0759	3.13461
SRX3637356	TFs and others	Spi1	Blood	Macrophages	46069	1347/2075	178/764	-88.3073	-85.5011	2.78627
SRX3637369	TFs and others	Usf2	Blood	Macrophages	36802	1484/2075	230/764	-87.7745	-84.9817	2.37564
SRX319884	TFs and others	Spi1	Blood	Macrophages	40290	1170/2075	123/764	-87.2213	-84.4415	3.50232
SRX150876	TFs and others	Spi1	Blood	Macrophages	62162	1380/2075	192/764	-86.9439	-84.1767	2.64639
SRX3637297	TFs and others	Spi1	Blood	Macrophages	42198	1250/2075	148/764	-86.9266	-84.1716	3.10974
SRX150874	TFs and others	Spi1	Blood	Macrophages	75836	1477/2075	230/764	-86.0407	-83.2976	2.36444
SRX10636465	TFs and others	Tbx21	Blood	Natural killer cells	3703	64/2075	232/764	-85.6336	-82.9021	0.10157
SRX9311836	TFs and others	Spi1	Blood	Macrophages	58315	1338/2075	180/764	-85.3991	-82.6789	2.7369
SRX498823	TFs and others	Spi1	Blood	Macrophages	72533	1424/2075	211/764	-85.3456	-82.6364	2.48486
SRX5255296	TFs and others	Stat1	Blood	Macrophages	22297	1038/2075	89/764	-85.3088	-82.6103	4.2942
SRX3637382	TFs and others	Spi1	Blood	Macrophages	48566	1278/2075	160/764	-85.2547	-82.5666	2.94094
SRX17156753	TFs and others	Spi1	Blood	Bone Marrow Cells	29667	977/2075	74/764	-85.0619	-82.3841	4.86114
SRX8379020	TFs and others	Ep300	Blood	Macrophages	19198	1274/2075	159/764	-84.9638	-82.2959	2.95017
SRX9311833	TFs and others	Spi1	Blood	Macrophages	48673	1205/2075	137/764	-84.8828	-82.2247	3.23848
SRX9311830	TFs and others	Spi1	Blood	Macrophages	48064	1296/2075	167/764	-84.6171	-81.9685	2.85735
SRX3802602	TFs and others	Tbx21	Blood	CD8+ T cells	3808	101/2075	263/764	-84.4341	-81.7949	0.141397
SRX17156752	TFs and others	Spi1	Blood	Bone Marrow Cells	28796	948/2075	68/764	-84.195	-81.5649	5.13304
SRX3637357	TFs and others	Spi1	Blood	Macrophages	50532	1267/2075	158/764	-84.1816	-81.5605	2.95253
SRX498824	TFs and others	Spi1	Blood	Macrophages	55622	1248/2075	152/764	-84.1547	-81.5424	3.02306
SRX3637383	TFs and others	Spi1	Blood	Macrophages	44789	1178/2075	131/764	-83.5967	-80.993	3.31092
SRX9311835	TFs and others	Spi1	Blood	Macrophages	55686	1247/2075	153/764	-83.3748	-80.7795	3.00089
SRX9311827	TFs and others	Spi1	Blood	Macrophages	49744	1181/2075	133/764	-83.0335	-80.4465	3.26944
SRX316159	TFs and others	Spi1	Embryonic fibroblast	3T3-L1	66476	1067/2075	100/764	-83.0221	-80.4432	3.92862
SRX3637440	TFs and others	Spi1	Blood	Macrophages	52560	1352/2075	190/764	-82.5331	-79.9622	2.61998
SRX9311785	TFs and others	Stat6	Blood	Macrophages	29456	1040/2075	94/764	-82.2624	-79.6993	4.07362
SRX9833106	TFs and others	Tcf7	Blood	CD8+ T cells	8293	190/2075	323/764	-81.8886	-79.3332	0.216584
SRX3637534	TFs and others	Rela	Blood	Macrophages	41177	1162/2075	130/764	-81.356	-78.8081	3.29108
SRX498827	TFs and others	Spi1	Blood	Macrophages	65280	1320/2075	181/764	-81.3307	-78.7902	2.68516
SRX17156729	TFs and others	Hdac3	Blood	Bone Marrow Cells	14019	923/2075	66/764	-81.281	-78.7486	5.14912
SRX1686486	TFs and others	Spi1	Blood	Bone Marrow Cells	23595	1057/2075	100/764	-81.2746	-78.7486	3.8918
SRX150881	TFs and others	Spi1	Blood	Macrophages	72892	1391/2075	207/764	-80.9768	-78.4579	2.47418
SRX3637412	TFs and others	Jun	Blood	Macrophages	49852	1371/2075	200/764	-80.6576	-78.1456	2.52396
SRX9311829	TFs and others	Spi1	Blood	Macrophages	52891	1238/2075	155/764	-80.3769	-77.8718	2.94079
SRX18326692	TFs and others	Fos	Neural	Microglia	20322	1155/2075	130/764	-80.0049	-77.5065	3.27125
SRX3637410	TFs and others	Jun	Blood	Macrophages	51313	1333/2075	188/764	-79.9685	-77.4767	2.61064
SRX150883	TFs and others	Spi1	Blood	Macrophages	75015	1420/2075	220/764	-79.8251	-77.3399	2.37652
SRX18326694	TFs and others	Fos	Neural	Microglia	17138	1055/2075	102/764	-79.6583	-77.1795	3.80827
SRX8693963	TFs and others	Smarca4	Blood	Neutrophils	27698	1399/2075	213/764	-79.331	-76.8585	2.41832
SRX9311826	TFs and others	Spi1	Blood	Macrophages	47939	1289/2075	174/764	-79.2647	-76.7985	2.72759
