SRX1898037	TFs and others	RAG1	Blood	REH	30711	150/1186	43/94	-13.0046	-8.85813	0.276481
SRX9178818	TFs and others	HAP1	Blood	HAP1	12304	267/1186	56/94	-12.7329	-8.85813	0.377891
SRX5527609	TFs and others	EP300	Cardiovascular	HAEC	19398	180/1186	46/94	-12.493	-8.79432	0.31014
SRX3271002	TFs and others	KDM1A	Pluripotent stem cell	hESC derived pancreatic cells	21954	272/1186	56/94	-12.204	-8.63026	0.384967
SRX8570845	TFs and others	HAP1	Blood	KBM-7	32790	339/1186	62/94	-12.0902	-8.61337	0.433362
SRX9178832	TFs and others	HAP1	Blood	HAP1	15452	394/1186	66/94	-11.5566	-8.21769	0.473146
SRX9178826	TFs and others	HAP1	Blood	HAP1	14614	348/1186	62/94	-11.5342	-8.21769	0.444868
SRX2270409	TFs and others	JMJD6	Others	Tumor	12999	307/1186	58/94	-11.4904	-8.21769	0.419521
SRX7972428	TFs and others	MKL2	Epidermis	MKL-2	31883	301/1186	57/94	-11.2297	-8.00814	0.418538
SRX2897208	TFs and others	ESR1	Breast	Breast cancer cells	26916	519/1186	75/94	-10.9931	-7.82089	0.548465
SRX5527615	TFs and others	EP300	Cardiovascular	HUVEC	27870	237/1186	50/94	-10.9553	-7.82089	0.375683
SRX7972427	TFs and others	MKL1	Epidermis	MKL-1	27136	247/1186	51/94	-10.7677	-7.67108	0.383857
SRX9178850	TFs and others	HAP1	Blood	HAP1	11020	191/1186	44/94	-10.4278	-7.36594	0.344052
SRX534844	TFs and others	CHD8	Neural	Neural Stem Cells	24387	448/1186	68/94	-9.94437	-6.9147	0.52217
SRX8570841	TFs and others	HAP1	Blood	KBM-7	30100	243/1186	48/94	-9.42427	-6.42456	0.401244
SRX9178841	TFs and others	HAP1	Blood	HAP1	9141	120/1186	33/94	-9.14235	-6.17067	0.288211
SRX8570843	TFs and others	HAP1	Blood	KBM-7	23581	160/1186	38/94	-9.07163	-6.12628	0.333718
SRX8570844	TFs and others	HAP1	Blood	KBM-7	30809	271/1186	50/94	-8.85426	-5.93373	0.429578
SRX5738756	TFs and others	Crotonyllysine	Pluripotent stem cell	hESC derived Endodermal cells	27111	261/1186	48/94	-8.33728	-5.44023	0.430965
SRX5527617	TFs and others	EP300	Cardiovascular	HUVEC	26078	307/1186	52/94	-8.11024	-5.23547	0.467927
SRX5738754	TFs and others	Crotonyllysine	Pluripotent stem cell	hESC derived Endodermal cells	24362	244/1186	45/94	-7.6548	-4.80122	0.429755
SRX5527607	TFs and others	EP300	Cardiovascular	HAEC	15525	151/1186	34/94	-7.45957	-4.62619	0.351999
SRX6840507	TFs and others	HAP1	Blood	KBM-7	15400	58/1186	21/94	-7.38253	-4.56846	0.218903
SRX6913069	TFs and others	BRD4	Blood	THP-1	14065	471/1186	65/94	-7.29672	-4.50113	0.574316
SRX023659	TFs and others	PHF8	Uterus	HeLa	2666	53/1186	20/94	-7.27605	-4.49819	0.210034
SRX2251223	TFs and others	BRD4	Prostate	C4-2	29879	285/1186	48/94	-7.16971	-4.40888	0.470594
SRX8082233	TFs and others	BRD4	Epidermis	Keratinocytes	11652	314/1186	51/94	-7.11581	-4.37137	0.487981
SRX3881553	TFs and others	MYC	Prostate	LNCAP	2341	95/1186	26/94	-7.03437	-4.30573	0.289597
SRX5738753	TFs and others	Crotonyllysine	Pluripotent stem cell	ES cells	22856	193/1186	38/94	-7.00514	-4.29174	0.402547
SRX8570842	TFs and others	HAP1	Blood	KBM-7	26302	169/1186	35/94	-6.75894	-4.06158	0.382703
SRX6913080	TFs and others	BRD4	Blood	K-562	14740	370/1186	55/94	-6.74602	-4.06158	0.53319
SRX9178836	TFs and others	HAP1	Blood	HAP1	8680	138/1186	31/94	-6.71337	-4.04272	0.352826
SRX6840506	TFs and others	HAP1	Blood	KBM-7	16920	78/1186	23/94	-6.69993	-4.04264	0.268788
SRX5738755	TFs and others	Crotonyllysine	Pluripotent stem cell	hESC derived Endodermal cells	24048	226/1186	41/94	-6.65666	-4.01353	0.436886
SRX1287852	TFs and others	BRD4	Blood	MOLM-14	19222	501/1186	66/94	-6.64526	-4.01353	0.60164
SRX3591437	TFs and others	BRD4	Blood	B-CLL cells	11356	534/1186	68/94	-6.53129	-3.91179	0.622408
SRX3271003	TFs and others	KDM1A	Pluripotent stem cell	hESC derived pancreatic cells	15286	377/1186	55/94	-6.43482	-3.82722	0.543278
SRX5738752	TFs and others	Crotonyllysine	Pluripotent stem cell	ES cells	23186	193/1186	37/94	-6.41819	-3.82217	0.413427
SRX5199675	TFs and others	EP300	Prostate	LNCAP	1195	38/1186	16/94	-6.36507	-3.78829	0.188238
SRX9550859	TFs and others	FOXA1	Prostate	Prostate cancer	34888	509/1186	66/94	-6.36203	-3.78829	0.611247
SRX3230396	TFs and others	PRDM10	Liver	Hep G2	30749	742/1186	82/94	-6.30795	-3.74493	0.717188
SRX6935376	TFs and others	MYCN	Neural	NB-1643	14816	684/1186	78/94	-6.23377	-3.68122	0.695032
SRX2251225	TFs and others	BRD4	Prostate	C4-2	24585	216/1186	39/94	-6.20998	-3.67368	0.438967
SRX5199669	TFs and others	EP300	Prostate	LNCAP	1653	45/1186	17/94	-6.20603	-3.67368	0.209801
SRX8246294	TFs and others	FGFR1	Breast	MCF-7	6424	152/1186	32/94	-6.16644	-3.64385	0.376476
SRX4172745	TFs and others	GATA1	Digestive tract	HCT 116	12333	220/1186	39/94	-6.0663	-3.55326	0.447096
SRX359960	TFs and others	TAL1	Digestive tract	LoVo	8703	546/1186	68/94	-6.04008	-3.53638	0.636395
SRX026640	TFs and others	FLI1	Blood	SKNO-1	25084	602/1186	72/94	-6.02992	-3.53536	0.662685
SRX096358	TFs and others	Epitope tags	Bone	EWS502	16890	455/1186	61/94	-6.01585	-3.53024	0.591187
SRX150656	TFs and others	ZNF263	Kidney	293	25755	401/1186	56/94	-5.97687	-3.50004	0.567544
SRX9550867	TFs and others	FOXA1	Prostate	Prostate cancer	37082	148/1186	31/94	-5.92907	-3.46409	0.378393
SRX182682	TFs and others	BRCA1	Breast	MCF 10A	3960	291/1186	46/94	-5.92389	-3.46409	0.501393
SRX6913050	TFs and others	BRD4	Blood	THP-1	5499	169/1186	33/94	-5.8849	-3.4385	0.405897
SRX2867630	TFs and others	BRD4	Blood	Lymphoblastoid cell line	17707	487/1186	63/94	-5.88191	-3.4385	0.612677
SRX1711343	TFs and others	INTS12	Lung	Bronchial epithelial cells	10927	634/1186	74/94	-5.85066	-3.41522	0.679048
SRX9550930	TFs and others	FOXA1	Prostate	Prostate cancer	31840	89/1186	23/94	-5.82348	-3.40275	0.306694
SRX9498730	TFs and others	TBP	Blood	K-562	8715	621/1186	73/94	-5.82268	-3.40275	0.674236
SRX4172743	TFs and others	GATA1	Digestive tract	HCT 116	11164	205/1186	37/94	-5.80614	-3.39377	0.439132
SRX7902939	TFs and others	BRD4	Breast	SUM 159PT	12817	541/1186	67/94	-5.7856	-3.38065	0.639979
SRX6473440	TFs and others	Epitope tags	Pluripotent stem cell	hESC derived neural crests	16269	226/1186	39/94	-5.71249	-3.31484	0.45929
SRX5089557	TFs and others	BRD4	Breast	MCF-7	15111	375/1186	53/94	-5.648	-3.25753	0.560788
SRX5123055	TFs and others	POU2F1	Digestive tract	HCT 116	1334	4/1186	7/94	-5.61933	-3.23592	0.0452903
SRX204903	TFs and others	BRD4	Blood	MM.1S	17953	397/1186	55/94	-5.54691	-3.1759	0.572099
SRX6913091	TFs and others	BRD4	Blood	K-562	8374	271/1186	43/94	-5.54552	-3.1759	0.49951
SRX7540325	TFs and others	BRD4	Breast	MCF-7	13302	390/1186	54/94	-5.53365	-3.17076	0.572419
SRX10158161	TFs and others	BRD4	Blood	KBM-7	5430	79/1186	21/94	-5.48684	-3.13058	0.298161
SRX054571	TFs and others	Epitope tags	Breast	MCF-7	15107	722/1186	79/94	-5.40872	-3.05899	0.724358
SRX9178809	TFs and others	HAP1	Blood	HAP1	7923	88/1186	22/94	-5.36296	-3.01967	0.317032
SRX6913066	TFs and others	BRD4	Blood	THP-1	7915	196/1186	35/94	-5.35589	-3.01894	0.443845
SRX6913088	TFs and others	BRD4	Blood	K-562	12194	326/1186	48/94	-5.30493	-2.97423	0.538294
SRX150556	TFs and others	E2F1	Breast	MCF-7	17635	741/1186	80/94	-5.26213	-2.93759	0.734127
SRX3881556	TFs and others	O-GlcNAc	Prostate	LNCAP	5174	456/1186	59/94	-5.25177	-2.9333	0.61257
SRX5123054	TFs and others	POU2F1	Digestive tract	HCT 116	2949	136/1186	28/94	-5.22172	-2.91979	0.384967
SRX2683611	TFs and others	Epitope tags	Kidney	293	498	12/1186	9/94	-5.22141	-2.91979	0.105677
SRX1478537	TFs and others	EP300	Kidney	Kidney Cortex	15725	458/1186	59/94	-5.22053	-2.91979	0.615257
SRX718122	TFs and others	WDR5	Bone	SKMNC	3551	189/1186	34/94	-5.20216	-2.90717	0.440581
SRX2267451	TFs and others	BRD4	Digestive tract	NCI-N87	5189	107/1186	24/94	-5.12456	-2.83525	0.353359
SRX2375366	TFs and others	CDK9	Blood	MV-4-11	27767	629/1186	72/94	-5.11567	-2.83376	0.692407
SRX5289972	TFs and others	NR3C1	Lung	BEAS-2B	11672	510/1186	63/94	-5.11193	-2.83376	0.641612
SRX2375362	TFs and others	CDK9	Blood	MV-4-11	19266	600/1186	70/94	-5.09357	-2.82612	0.679354
SRX096362	TFs and others	Epitope tags	Cardiovascular	HUVEC	27717	389/1186	53/94	-5.09344	-2.82612	0.581724
SRX054576	TFs and others	Epitope tags	Breast	MCF-7	15068	689/1186	76/94	-5.03327	-2.77128	0.718536
SRX190221	TFs and others	ELF1	Digestive tract	HCT 116	16544	787/1186	82/94	-4.99038	-2.73886	0.760684
SRX3031982	TFs and others	BRD4	Blood	MV-4-11	47241	787/1186	82/94	-4.99038	-2.73886	0.760684
