SRX7902984	TFs and others	EGR1	Blood	Monocytes	470	12/46	4/247	-7.17937	-3.01944	16.1087
SRX7902979	TFs and others	EGR1	Blood	Macrophages	458	11/46	4/247	-6.40216	-2.54326	14.7663
SRX7135370	TFs and others	BRD3	Blood	K-562	1429	16/46	17/247	-5.71913	-2.16126	5.05371
SRX9628497	TFs and others	JUN	Gonad	SCCOHT-1	1162	16/46	17/247	-5.71913	-2.16126	5.05371
SRX4737854	TFs and others	BAP1	Pancreas	PANC-1	895	10/46	5/247	-5.22171	-1.87901	10.7391
SRX7972442	TFs and others	MKL2	Epidermis	MKL-2	487	10/46	5/247	-5.22171	-1.87901	10.7391
SRX7135366	TFs and others	BRD3	Blood	K-562	612	11/46	7/247	-5.19384	-1.87901	8.43789
SRX7902980	TFs and others	EGR1	Blood	Macrophages	362	9/46	4/247	-4.90907	-1.65255	12.0815
SRX3068920	TFs and others	AR	Prostate	22Rv1	2294	27/46	61/247	-4.85824	-1.65255	2.37669
SRX7728608	TFs and others	EP300	Pluripotent stem cell	hESC H9	23691	7/46	115/247	-4.18524	-1.14626	0.326843
SRX8299809	TFs and others	MYC	Bone	U2OS	13516	7/46	114/247	-4.17498	-1.14626	0.32971
SRX2642372	TFs and others	HOXB13	Prostate	VCaP	11321	6/46	1/247	-4.16006	-1.14626	32.2174
SRX7031581	TFs and others	EGR1	Blood	Monocytes	278	6/46	1/247	-4.16006	-1.14626	32.2174
SRX9562913	TFs and others	MYCN	Muscle	RH-4	685	6/46	1/247	-4.16006	-1.14626	32.2174
SRX9562910	TFs and others	MYCN	Muscle	RH-4	623	5/46	0/247	-4.1033	-1.11946	inf
SRX734410	TFs and others	AR	Prostate	CWR22Pc	62142	16/46	162/247	-3.89527	-0.998492	0.530327
SRX7972447	TFs and others	MKL1	Epidermis	MKL-1	2975	7/46	3/247	-3.89225	-0.998492	12.529
SRX5054307	TFs and others	FOSL2	Neural	Neural progenitor cells	1911	22/46	49/247	-3.88229	-0.998492	2.41083
SRX9932058	TFs and others	STAT5A	Breast	MCF-7	983	16/46	27/247	-3.86243	-0.998492	3.18196
SRX4737858	TFs and others	BAP1	Pancreas	HPDE6	609	8/46	5/247	-3.8362	-0.998492	8.5913
SRX9628492	TFs and others	JUN	Gonad	SCCOHT-1	509	8/46	5/247	-3.8362	-0.998492	8.5913
SRX4374900	TFs and others	NOTCH1	Breast	MB 157	1008	15/46	24/247	-3.81122	-0.993715	3.35598
SRX3256876	TFs and others	KDM2B	Pluripotent stem cell	hESC H1	29582	13/46	146/247	-3.78792	-0.989719	0.478112
SRX5757566	TFs and others	SMAD3	Breast	SUM 159PT	11483	14/46	150/247	-3.7599	-0.980184	0.501159
SRX3256862	TFs and others	KDM2B	Pluripotent stem cell	hESC H1	25577	13/46	144/247	-3.71768	-0.975036	0.484752
SRX4374935	TFs and others	NOTCH1	Breast	HCC1599	1098	16/46	28/247	-3.71698	-0.975036	3.06832
SRX4737859	TFs and others	BAP1	Pancreas	HPDE6	684	10/46	10/247	-3.7036	-0.975036	5.36957
SRX8406531	TFs and others	HOXB13	Prostate	Prostate	3965	9/46	8/247	-3.59646	-0.922402	6.04076
SRX327755	TFs and others	MED1	Blood	MM.1S	17194	16/46	159/247	-3.58527	-0.922402	0.540334
SRX7135365	TFs and others	BRD2	Blood	K-562	3061	26/46	69/247	-3.58287	-0.922402	2.02331
