SRX7972427	TFs and others	MKL1	Epidermis	MKL-1	27136	10/67	275/528	-8.47599	-4.20547	0.286567
SRX1898037	TFs and others	RAG1	Blood	REH	30711	6/67	217/528	-7.43661	-3.46712	0.217897
SRX2585782	TFs and others	TP53	Breast	MDA-MB-231	31353	17/67	307/528	-6.38408	-2.59069	0.436385
SRX5738753	TFs and others	Crotonyllysine	Pluripotent stem cell	ES cells	22856	11/67	243/528	-5.77801	-2.10955	0.356735
SRX5738752	TFs and others	Crotonyllysine	Pluripotent stem cell	ES cells	23186	12/67	244/528	-5.22351	-1.65196	0.38757
SRX5574370	TFs and others	SPI1	Blood	Dendritic Cells	64341	2/67	127/528	-4.92877	-1.52872	0.124104
SRX8570845	TFs and others	HAP1	Blood	KBM-7	32790	20/67	309/528	-4.92831	-1.52872	0.510071
SRX2251225	TFs and others	BRD4	Prostate	C4-2	24585	14/67	257/528	-4.89615	-1.52872	0.429293
SRX1478537	TFs and others	EP300	Kidney	Kidney Cortex	15725	22/67	321/528	-4.71203	-1.42626	0.540103
SRX3824042	TFs and others	SPI1	Blood	THP-1	46324	2/67	122/528	-4.69678	-1.42626	0.12919
SRX5574359	TFs and others	SPI1	Blood	Dendritic Cells	67162	0/67	87/528	-4.6102	-1.38108	0
SRX12129503	TFs and others	BRD4	Blood	T cells	7619	9/67	203/528	-4.45576	-1.2976	0.349386
SRX448939	TFs and others	BRD4	Blood	KOPT-K1	8725	9/67	200/528	-4.43512	-1.2976	0.354627
SRX9029209	TFs and others	SPI1	Blood	Neutrophils	33200	7/67	178/528	-4.40673	-1.2976	0.309911
SRX7972428	TFs and others	MKL2	Epidermis	MKL-2	31883	20/67	301/528	-4.38268	-1.2976	0.523628
SRX2251223	TFs and others	BRD4	Prostate	C4-2	29879	19/67	292/528	-4.364	-1.2976	0.512779
SRX2251224	TFs and others	BRD4	Prostate	C4-2	6987	2/67	114/528	-4.24305	-1.23662	0.138256
SRX5574392	TFs and others	SPI1	Blood	THP-1	76189	2/67	116/528	-4.23284	-1.23662	0.135872
SRX5738751	TFs and others	Crotonyllysine	Pluripotent stem cell	ES cells	17499	9/67	198/528	-4.22703	-1.23662	0.358209
SRX4001821	TFs and others	SPI1	Blood	Macrophages	66619	3/67	128/528	-4.20611	-1.23662	0.184701
SRX5574357	TFs and others	SPI1	Blood	Dendritic Cells	43953	1/67	97/528	-4.13243	-1.21399	0.0812433
SRX5574355	TFs and others	SPI1	Blood	Monocytes	43285	1/67	96/528	-4.12999	-1.21399	0.0820896
SRX482859	TFs and others	TBP	Blood	K-562	7128	10/67	204/528	-4.12278	-1.21399	0.386304
SRX5300515	TFs and others	PDX1	Pluripotent stem cell	iPS derived pancreatic cells	8077	12/67	21/528	-4.07677	-1.18647	4.5032
SRX150678	TFs and others	MYC	Blood	K-562	12840	12/67	224/528	-4.02226	-1.14968	0.422175
SRX8420196	TFs and others	JUN	Blood	KARPAS-299	12874	9/67	193/528	-4.00204	-1.1465	0.367489
SRX4415495	TFs and others	RBBP7	Kidney	hTERT-HME1	9395	13/67	232/528	-3.97456	-1.14466	0.441585
SRX7196715	TFs and others	BMI1	Neural	SU-DIPG-IV	22502	43/67	204/528	-3.96802	-1.14466	1.66111
SRX398095	TFs and others	CDK7	Blood	Jurkat	8839	14/67	239/528	-3.92616	-1.11804	0.461625
SRX4792911	TFs and others	RAD21	Breast	T-47D	4086	20/67	57/528	-3.90109	-1.11408	2.76512
SRX3271003	TFs and others	KDM1A	Pluripotent stem cell	hESC derived pancreatic cells	15286	21/67	299/528	-3.88163	-1.11408	0.553487
SRX236115	TFs and others	TCF3	Blood	Kasumi-1	35196	6/67	157/528	-3.87945	-1.11408	0.301169
SRX4976904	TFs and others	TP63	Pluripotent stem cell	hESC H9	1113	4/67	0/528	-3.82897	-1.08434	inf
SRX198033	TFs and others	BRD4	Blood	CD4+ T cells	5708	5/67	147/528	-3.82338	-1.08434	0.268048
SRX5574508	TFs and others	SPI1	Blood	TALL-1	66876	2/67	105/528	-3.79521	-1.06876	0.150107
SRX10760631	TFs and others	BRD4	Blood	MM.1S	9937	14/67	234/528	-3.69764	-1.00403	0.471489
SRX4484984	TFs and others	SPI1	Blood	SEM	37198	0/67	73/528	-3.68757	-1.00403	0
SRX1674506	TFs and others	MBD3	Uterus	HeLa	35004	25/67	324/528	-3.68467	-1.00403	0.608071
SRX026653	TFs and others	ERG	Blood	CD34 Hematopoietic stem cells	22246	38/67	173/528	-3.68348	-1.00403	1.731
SRX5300516	TFs and others	PDX1	Pluripotent stem cell	iPS derived pancreatic cells	9078	12/67	24/528	-3.65052	-0.982065	3.9403
SRX5574343	TFs and others	SPI1	Blood	Monocytes	37489	5/67	141/528	-3.61223	-0.959624	0.279454
SRX8570841	TFs and others	HAP1	Blood	KBM-7	30100	17/67	258/528	-3.60689	-0.959624	0.519264
SRX190308	TFs and others	CEBPB	Digestive tract	HCT 116	22380	20/67	283/528	-3.59312	-0.956072	0.556933
SRX1013970	TFs and others	NELFA	Uterus	HeLa	5120	12/67	213/528	-3.5739	-0.946837	0.443977
SRX5574460	TFs and others	SPI1	Blood	CTV-1	42039	3/67	115/528	-3.55775	-0.940448	0.205581
SRX3824041	TFs and others	SPI1	Blood	THP-1	56505	1/67	86/528	-3.47674	-0.868982	0.0916348
SRX150632	TFs and others	CEBPB	Uterus	HeLa	67673	16/67	246/528	-3.42207	-0.846069	0.512559
SRX3472373	TFs and others	TP53BP1	Pluripotent stem cell	hESC H9	7476	16/67	246/528	-3.42207	-0.846069	0.512559
