SRX2198835	TFs and others	LARP7	Uterus	HeLa	31176	78/143	843/955	-18.9115	-14.6385	0.617923
SRX6614746	TFs and others	RAD21	Lung	IMR-90	6132	23/143	8/955	-14.5696	-11.5643	19.2002
SRX882965	TFs and others	5-mC	Prostate	LNCAP	67065	31/143	24/955	-14.5151	-11.5643	8.62617
SRX1397403	TFs and others	GATA2	Blood	CD34+	929	16/143	0/955	-14.4949	-11.5643	inf
SRX1397412	TFs and others	SMAD1	Blood	CD34+	2387	16/143	0/955	-14.4949	-11.5643	inf
SRX159090	TFs and others	FOXA1	Liver	HuH-7	3176	16/143	0/955	-14.4949	-11.5643	inf
SRX3437426	TFs and others	CTCF	Uterus	HeLa	334	16/143	0/955	-14.4949	-11.5643	inf
SRX514840	TFs and others	TP53	Epidermis	Keratinocytes	997	16/143	0/955	-14.4949	-11.5643	inf
SRX673740	TFs and others	ESR1	Breast	MCF-7	174	16/143	0/955	-14.4949	-11.5643	inf
SRX7030879	TFs and others	CBX5	Breast	MCF-7	716	16/143	0/955	-14.4949	-11.5643	inf
SRX7680922	TFs and others	TEAD4	Unclassified	Unclassified	315	16/143	0/955	-14.4949	-11.5643	inf
SRX7680923	TFs and others	TEAD4	Unclassified	Unclassified	553	16/143	0/955	-14.4949	-11.5643	inf
SRX8342558	TFs and others	SUZ12	Pluripotent stem cell	iPS cells	829	16/143	0/955	-14.4949	-11.5643	inf
SRX8342559	TFs and others	Epitope tags	Pluripotent stem cell	iPS cells	860	16/143	0/955	-14.4949	-11.5643	inf
SRX8342560	TFs and others	Epitope tags	Pluripotent stem cell	iPS cells	905	16/143	0/955	-14.4949	-11.5643	inf
SRX8342561	TFs and others	Epitope tags	Pluripotent stem cell	iPS cells	697	16/143	0/955	-14.4949	-11.5643	inf
SRX8342562	TFs and others	Epitope tags	Pluripotent stem cell	iPS cells	637	16/143	0/955	-14.4949	-11.5643	inf
SRX8342563	TFs and others	Epitope tags	Pluripotent stem cell	iPS cells	688	16/143	0/955	-14.4949	-11.5643	inf
SRX8342564	TFs and others	Epitope tags	Pluripotent stem cell	iPS cells	886	16/143	0/955	-14.4949	-11.5643	inf
SRX8342565	TFs and others	Epitope tags	Pluripotent stem cell	iPS cells	896	16/143	0/955	-14.4949	-11.5643	inf
SRX8342566	TFs and others	Epitope tags	Pluripotent stem cell	iPS cells	846	16/143	0/955	-14.4949	-11.5643	inf
SRX8359003	TFs and others	FLI1	Others	Mesenchymal stem cells	582	16/143	0/955	-14.4949	-11.5643	inf
SRX2314263	TFs and others	SUPT5H	Blood	MOLT-4	13839	75/143	797/955	-14.3657	-11.4729	0.628449
SRX5316104	TFs and others	O-GlcNAc	Prostate	LNCAP	9397	75/143	797/955	-14.3657	-11.4729	0.628449
DRX002915	TFs and others	SMCHD1	Neural	hTERT RPE-1	412	17/143	1/955	-14.2207	-11.4101	113.531
SRX097105	TFs and others	CEBPA	Blood	K-562	3483	17/143	1/955	-14.2207	-11.4101	113.531
SRX1012763	TFs and others	PGR	Breast	MCF-7	443	17/143	1/955	-14.2207	-11.4101	113.531
SRX3599307	TFs and others	JUN	Cardiovascular	HUVEC	739	17/143	1/955	-14.2207	-11.4101	113.531
SRX738220	TFs and others	NUP98	Kidney	293	631	17/143	1/955	-14.2207	-11.4101	113.531
SRX1048477	TFs and others	BACH2	Blood	OCI-LY-7	759	18/143	2/955	-14.181	-11.3851	60.1049
SRX361886	TFs and others	RAD21	Digestive tract	LoVo	3285	23/143	9/955	-14.0681	-11.3304	17.0668
SRX7202535	TFs and others	RAD21	Uterus	HEC-1-B	4624	23/143	9/955	-14.0681	-11.3304	17.0668
ERX704044	TFs and others	RAD21	Blood	HL-60	3340	24/143	11/955	-13.9436	-11.3304	14.5709
SRX022577	TFs and others	AR	Prostate	Prostate cancer cells	523	15/143	0/955	-13.5675	-11.3304	inf
SRX1023795	TFs and others	SPI1	Blood	Macrophages	514	15/143	0/955	-13.5675	-11.3304	inf
SRX109477	TFs and others	BMI1	Neural	Fetal neural progenitor cells	804	15/143	0/955	-13.5675	-11.3304	inf
SRX11070613	TFs and others	GFP	Digestive tract	Colorectal adenocarcinoma	494	15/143	0/955	-13.5675	-11.3304	inf
SRX1112994	TFs and others	LMNB1	Lung	IMR-90	928	15/143	0/955	-13.5675	-11.3304	inf
SRX1112996	TFs and others	MAP1LC3B	Lung	IMR-90	1081	15/143	0/955	-13.5675	-11.3304	inf
SRX1592802	TFs and others	ATRX	Neural	LAN-6	879	15/143	0/955	-13.5675	-11.3304	inf
SRX3025913	TFs and others	TP53	Breast	MCF-7	1287	15/143	0/955	-13.5675	-11.3304	inf
SRX3025914	TFs and others	TP53	Breast	MCF-7	624	15/143	0/955	-13.5675	-11.3304	inf
SRX3025916	TFs and others	TP53	Breast	MCF-7	1463	15/143	0/955	-13.5675	-11.3304	inf
SRX4783086	TFs and others	AR	Prostate	Prostate cancer cells	564	15/143	0/955	-13.5675	-11.3304	inf
SRX5574475	TFs and others	SPI1	Blood	CTV-1	904	15/143	0/955	-13.5675	-11.3304	inf
SRX5574476	TFs and others	SPI1	Blood	CTV-1	777	15/143	0/955	-13.5675	-11.3304	inf
SRX5574511	TFs and others	SPI1	Blood	TALL-1	493	15/143	0/955	-13.5675	-11.3304	inf
SRX5771936	TFs and others	FOXO1	Blood	OCI-LY1	642	15/143	0/955	-13.5675	-11.3304	inf
SRX6780864	TFs and others	CREB1	Pluripotent stem cell	iPS derived neural cells	789	15/143	0/955	-13.5675	-11.3304	inf
SRX6909705	TFs and others	Epitope tags	Blood	697	2045	15/143	0/955	-13.5675	-11.3304	inf
SRX701968	TFs and others	EOMES	Pluripotent stem cell	hESC HUES64	210	15/143	0/955	-13.5675	-11.3304	inf
SRX702002	TFs and others	GATA6	Pluripotent stem cell	hESC derived mesendodermal cells	386	15/143	0/955	-13.5675	-11.3304	inf
SRX730425	TFs and others	ESR1	Breast	MCF-7	851	15/143	0/955	-13.5675	-11.3304	inf
SRX8342551	TFs and others	SUZ12	Pluripotent stem cell	iPS cells	858	15/143	0/955	-13.5675	-11.3304	inf
SRX8342552	TFs and others	SUZ12	Pluripotent stem cell	iPS cells	784	15/143	0/955	-13.5675	-11.3304	inf
SRX8342553	TFs and others	SUZ12	Pluripotent stem cell	iPS cells	588	15/143	0/955	-13.5675	-11.3304	inf
SRX8342555	TFs and others	SUZ12	Pluripotent stem cell	iPS cells	673	15/143	0/955	-13.5675	-11.3304	inf
SRX8342556	TFs and others	SUZ12	Pluripotent stem cell	iPS cells	820	15/143	0/955	-13.5675	-11.3304	inf
SRX8342557	TFs and others	SUZ12	Pluripotent stem cell	iPS cells	747	15/143	0/955	-13.5675	-11.3304	inf
SRX8406446	TFs and others	AR	Prostate	Prostate	1724	15/143	0/955	-13.5675	-11.3304	inf
SRX8406450	TFs and others	AR	Prostate	Prostate	871	15/143	0/955	-13.5675	-11.3304	inf
SRX8406539	TFs and others	HOXB13	Prostate	Prostate	4653	15/143	0/955	-13.5675	-11.3304	inf
SRX7202544	TFs and others	CTCF	Uterus	HEC-1-B	8594	35/143	38/955	-13.5462	-11.3304	6.15109
SRX097088	TFs and others	GATA2	Blood	K-562	3005	18/143	3/955	-13.3864	-11.3304	40.0699
DRX051430	TFs and others	CTNNB1	Digestive tract	DLD-1	431	16/143	1/955	-13.3153	-11.3304	106.853
SRX026529	TFs and others	ESR1	Breast	MCF-7	519	16/143	1/955	-13.3153	-11.3304	106.853
SRX039145	TFs and others	FOXA1	Breast	T-47D	2024	16/143	1/955	-13.3153	-11.3304	106.853
SRX096343	TFs and others	VDR	Digestive tract	LS-180	151	16/143	1/955	-13.3153	-11.3304	106.853
SRX097110	TFs and others	CEBPA	Blood	U-937	359	16/143	1/955	-13.3153	-11.3304	106.853
SRX1012221	TFs and others	MLLT3	Pluripotent stem cell	hESC derived neural cells	416	16/143	1/955	-13.3153	-11.3304	106.853
SRX1012740	TFs and others	ESR1	Breast	MCF-7	1057	16/143	1/955	-13.3153	-11.3304	106.853
SRX1012751	TFs and others	PGR	Breast	MCF-7	319	16/143	1/955	-13.3153	-11.3304	106.853
SRX1012752	TFs and others	PGR	Breast	MCF-7	444	16/143	1/955	-13.3153	-11.3304	106.853
SRX1012757	TFs and others	PGR	Breast	MCF-7	347	16/143	1/955	-13.3153	-11.3304	106.853
SRX1012762	TFs and others	PGR	Breast	MCF-7	406	16/143	1/955	-13.3153	-11.3304	106.853
SRX1012764	TFs and others	PGR	Breast	MCF-7	488	16/143	1/955	-13.3153	-11.3304	106.853
SRX1027447	TFs and others	ATF4	Others	Mesenchymal stem cells	692	16/143	1/955	-13.3153	-11.3304	106.853
SRX1027451	TFs and others	ATF4	Others	Mesenchymal stem cells	788	16/143	1/955	-13.3153	-11.3304	106.853
SRX1027452	TFs and others	ATF4	Others	Mesenchymal stem cells	2537	16/143	1/955	-13.3153	-11.3304	106.853
SRX1048460	TFs and others	PAX5	Blood	DOHH-2	185	16/143	1/955	-13.3153	-11.3304	106.853
SRX1070163	TFs and others	AR	Breast	MDA-MB-453	9833	16/143	1/955	-13.3153	-11.3304	106.853
SRX109480	TFs and others	BMI1	Neural	GBM1-HAM	1088	16/143	1/955	-13.3153	-11.3304	106.853
SRX11472293	TFs and others	CTCF	Uterus	HeLa	727	16/143	1/955	-13.3153	-11.3304	106.853
SRX116416	TFs and others	CHD1	Blood	K-562	230	16/143	1/955	-13.3153	-11.3304	106.853
