SRX6957431	TFs and others	FOXL2	Gonad	KGN	58957	50/145	147/256	-4.93022	-1.32655	0.600516
SRX8673472	TFs and others	DDIT3	Bone	HT-1080	4414	35/145	21/256	-4.72605	-1.32655	2.94253
SRX2537516	TFs and others	BRD2	Epidermis	SK-MEL-147	18741	51/145	146/256	-4.51897	-1.32655	0.616722
DRX234801	TFs and others	KAT7	Blood	HB1119	667	10/145	0/256	-4.50646	-1.32655	inf
SRX758028	TFs and others	TOP1	Prostate	LNCAP	3314	10/145	0/256	-4.50646	-1.32655	inf
SRX5360661	TFs and others	KLF4	Epidermis	BJ	16236	61/145	57/256	-4.41263	-1.32655	1.88941
SRX6602363	TFs and others	ARNTL	Neural	Glioma stem cells	7860	40/145	28/256	-4.34816	-1.32655	2.52217
SRX7214021	TFs and others	KLF3	Epidermis	Keratinocytes	15248	69/145	70/256	-4.27903	-1.32655	1.7403
SRX4680620	TFs and others	MYBL2	Bone	A-673	6646	21/145	83/256	-4.09594	-1.32655	0.446697
SRX1878943	TFs and others	BRD4	Others	Fibroblasts	1438	2/145	30/256	-4.08673	-1.32655	0.117701
SRX7692227	TFs and others	Epitope tags	Kidney	293	962	11/145	1/256	-4.05341	-1.32655	19.4207
SRX10104974	TFs and others	RXRA	Others	5637	702	9/145	0/256	-4.04672	-1.32655	inf
SRX1532010	TFs and others	SON	Blood	K-562	248	9/145	0/256	-4.04672	-1.32655	inf
SRX248895	TFs and others	SFPQ	Prostate	LNCAP	258	9/145	0/256	-4.04672	-1.32655	inf
SRX5865988	TFs and others	TP53	Blood	MOLM-13	2922	9/145	0/256	-4.04672	-1.32655	inf
SRX100320	TFs and others	GATA2	Blood	CD34 Hematopoietic stem cells	1373	19/145	7/256	-4.04473	-1.32655	4.79212
SRX1013968	TFs and others	NELFA	Uterus	HeLa	5456	13/145	63/256	-3.99832	-1.32655	0.364313
SRX5124039	TFs and others	POU2F1	Prostate	22Rv1	6371	20/145	80/256	-3.97322	-1.32655	0.441379
SRX6027700	TFs and others	ESR1	Uterus	Ishikawa	9814	31/145	20/256	-3.83022	-1.32655	2.73655
SRX113706	TFs and others	SP1	Digestive tract	HCT 116	16733	55/145	52/256	-3.78113	-1.32655	1.86737
SRX190291	TFs and others	MAX	Neural	SK-N-SH	33086	84/145	195/256	-3.73421	-1.32655	0.760531
SRX017913	TFs and others	RELA	Blood	GM12891	7968	4/145	36/256	-3.72867	-1.32655	0.196169
SRX190343	TFs and others	PBX3	Neural	SK-N-SH	52071	87/145	199/256	-3.65092	-1.32655	0.771859
SRX3829962	TFs and others	MGA	Lung	A549	769	13/145	3/256	-3.64477	-1.32655	7.65057
SRX5323863	TFs and others	STAT3	Breast	MCF-7	248	13/145	3/256	-3.64477	-1.32655	7.65057
SRX150394	TFs and others	SREBF2	Liver	Hep G2	144	10/145	1/256	-3.62867	-1.32655	17.6552
SRX1660876	TFs and others	TRIM25	Breast	Breast cancer cells	737	10/145	1/256	-3.62867	-1.32655	17.6552
SRX2731653	TFs and others	HOXC5	Prostate	PC-3	16367	45/145	128/256	-3.62322	-1.32655	0.62069
SRX129085	TFs and others	MAX	Neural	U-87 MG	47421	107/145	227/256	-3.61286	-1.32655	0.832204
SRX9317685	TFs and others	EP300	Blood	Fujioka	12598	50/145	46/256	-3.59483	-1.32655	1.91904
SRX6969884	TFs and others	CHD6	Cardiovascular	Cardiomyocytes	840	19/145	8/256	-3.59453	-1.32655	4.1931
DRX059613	TFs and others	TAF1C	Blood	HB1119	650	8/145	0/256	-3.58904	-1.32655	inf
DRX234802	TFs and others	JADE3	Blood	HB1119	580	8/145	0/256	-3.58904	-1.32655	inf
DRX234804	TFs and others	ING4	Blood	HB1119	619	8/145	0/256	-3.58904	-1.32655	inf
DRX300407	TFs and others	JADE3	Blood	HB1119	424	8/145	0/256	-3.58904	-1.32655	inf
SRX10009627	TFs and others	TAF3	Blood	MM.1S	835	8/145	0/256	-3.58904	-1.32655	inf
SRX11009534	TFs and others	YBX1	Blood	MOLM-13	344	8/145	0/256	-3.58904	-1.32655	inf
SRX176868	TFs and others	GATA3	Breast	MCF-7	578	8/145	0/256	-3.58904	-1.32655	inf
SRX194192	TFs and others	TET3	Kidney	293	120	8/145	0/256	-3.58904	-1.32655	inf
SRX248894	TFs and others	SFPQ	Prostate	LNCAP	254	8/145	0/256	-3.58904	-1.32655	inf
SRX2514375	TFs and others	GFP	Uterus	HeLa	637	8/145	0/256	-3.58904	-1.32655	inf
SRX254620	TFs and others	RCOR1	Uterus	HeLa	319	8/145	0/256	-3.58904	-1.32655	inf
SRX286018	TFs and others	SPI1	Blood	Macrophages	418	8/145	0/256	-3.58904	-1.32655	inf
SRX3020591	TFs and others	Epitope tags	Kidney	293	2515	8/145	0/256	-3.58904	-1.32655	inf
SRX3541104	TFs and others	ESR1	Breast	MCF-7	857	8/145	0/256	-3.58904	-1.32655	inf
SRX3554404	TFs and others	ESR1	Breast	MDA-MB-134-VI	833	8/145	0/256	-3.58904	-1.32655	inf
