SRX1674506	TFs and others	MBD3	Uterus	HeLa	35004	451/2546	33/81	-5.56821	-1.52124	0.4348
SRX8080549	TFs and others	Epitope tags	Breast	Mammary gland ductal carcinoma	20209	371/2546	29/81	-5.39094	-1.52124	0.407008
SRX1012618	TFs and others	PGR	Breast	T-47D	18933	191/2546	19/81	-4.95411	-1.36041	0.319821
SRX3990984	TFs and others	PGR	Breast	T-47D	28571	380/2546	28/81	-4.83459	-1.36041	0.43177
SRX4663585	TFs and others	ESR1	Breast	MCF-7	5642	31/2546	8/81	-4.78692	-1.36041	0.123282
SRX8080545	TFs and others	Epitope tags	Breast	Mammary gland ductal carcinoma	8148	344/2546	26/81	-4.60965	-1.36041	0.420932
SRX097108	TFs and others	GATA1	Blood	K-562	10354	131/2546	15/81	-4.60834	-1.36041	0.277848
SRX7282934	TFs and others	ESR1	Breast	ZR-75-1	3257	8/2546	5/81	-4.58311	-1.36041	0.0509034
SRX5057632	TFs and others	GATA3	Breast	MCF-7	28970	149/2546	16/81	-4.5769	-1.36041	0.296274
SRX3990982	TFs and others	PGR	Breast	T-47D	16473	246/2546	21/81	-4.50263	-1.3319	0.372685
SRX1012621	TFs and others	PGR	Breast	T-47D	21940	193/2546	18/81	-4.34746	-1.23922	0.341123
SRX8080556	TFs and others	Epitope tags	Breast	Mammary gland adenocarcinoma	4615	106/2546	13/81	-4.31713	-1.23922	0.259411
SRX1012620	TFs and others	PGR	Breast	T-47D	20770	176/2546	17/81	-4.29601	-1.23922	0.329375
SRX1012623	TFs and others	PGR	Breast	T-47D	19389	159/2546	16/81	-4.25597	-1.23137	0.316158
SRX1161166	TFs and others	NR3C1	Breast	MCF-7	7380	93/2546	12/81	-4.20692	-1.21228	0.246563
SRX2871365	TFs and others	PGR	Breast	T-47D	19703	204/2546	18/81	-4.05066	-1.08405	0.360566
SRX5401866	TFs and others	PGR	Breast	T-47D	33551	280/2546	22/81	-3.96732	-1.02799	0.404913
SRX6777400	TFs and others	ESR1	Breast	MCF-7	1308	12/2546	5/81	-3.94345	-1.02799	0.0763551
SRX2871360	TFs and others	PGR	Breast	T-47D	33706	287/2546	22/81	-3.89978	-1.0078	0.415036
SRX201315	TFs and others	ARNT	Breast	MCF-7	3784	32/2546	7/81	-3.84939	-0.998446	0.145438
SRX3990986	TFs and others	PGR	Breast	T-47D	28657	385/2546	26/81	-3.82871	-0.998446	0.471101
SRX8080557	TFs and others	Epitope tags	Breast	Mammary gland adenocarcinoma	4974	103/2546	12/81	-3.81622	-0.998446	0.273075
SRX8520804	TFs and others	NR3C1	Breast	HCC70	3083	72/2546	10/81	-3.80745	-0.998446	0.229065
SRX5089423	TFs and others	SMARCA4	Breast	MCF-7	2925	89/2546	11/81	-3.73546	-0.944941	0.257409
SRX190352	TFs and others	CREB1	Pluripotent stem cell	hESC H1	17758	1487/2546	30/81	-3.67266	-0.901903	1.57694
SRX8520805	TFs and others	NR3C1	Breast	MCF-7	7992	91/2546	11/81	-3.65766	-0.901903	0.263194
SRX4663587	TFs and others	ESR1	Breast	MCF-7	5090	35/2546	7/81	-3.63785	-0.898482	0.159073
SRX100422	TFs and others	SP1	Pluripotent stem cell	hESC H1	15925	1176/2546	21/81	-3.58466	-0.861086	1.78162
SRX702120	TFs and others	STAT3	Pluripotent stem cell	hESC derived mesendodermal cells	275	25/2546	6/81	-3.54755	-0.839217	0.132561
SRX2251225	TFs and others	BRD4	Prostate	C4-2	24585	441/2546	28/81	-3.53045	-0.836841	0.50108
SRX201314	TFs and others	AHR	Breast	MCF-7	5944	50/2546	8/81	-3.50032	-0.820951	0.198841
SRX7282936	TFs and others	ESR1	Breast	ZR-75-1	3035	8/2546	4/81	-3.46331	-0.808162	0.0636292
SRX5089411	TFs and others	SMARCA4	Breast	MCF-7	1867	65/2546	9/81	-3.45843	-0.808162	0.229772
SRX7030913	TFs and others	HEXIM1	Breast	MCF-7	4217	292/2546	21/81	-3.44635	-0.808162	0.442375
SRX1165102	TFs and others	Epitope tags	Liver	Hep G2	9663	1301/2546	25/81	-3.39376	-0.808162	1.65563
SRX1012619	TFs and others	PGR	Breast	T-47D	24944	272/2546	20/81	-3.37621	-0.808162	0.432679
SRX2871361	TFs and others	PGR	Breast	T-47D	35355	272/2546	20/81	-3.37621	-0.808162	0.432679
SRX7135363	TFs and others	HDAC2	Blood	K-562	3766	435/2546	3/81	-3.37503	-0.808162	4.61312
