SRX3271002	TFs and others	KDM1A	Pluripotent stem cell	hESC derived pancreatic cells	21954	337/3077	14/26	-6.926	-2.6655	0.203398
SRX5527607	TFs and others	EP300	Cardiovascular	HAEC	15525	164/3077	10/26	-6.23811	-2.27864	0.138577
SRX5738754	TFs and others	Crotonyllysine	Pluripotent stem cell	hESC derived Endodermal cells	24362	280/3077	12/26	-5.95208	-2.20352	0.197162
SRX1674506	TFs and others	MBD3	Uterus	HeLa	35004	294/3077	12/26	-5.73103	-2.20352	0.20702
SRX186705	TFs and others	PHF8	Pluripotent stem cell	hESC H1	10408	302/3077	12/26	-5.60992	-2.20352	0.212653
SRX2339191	TFs and others	CREBBP	Blood	B cells	10736	304/3077	12/26	-5.5802	-2.20352	0.214061
SRX116465	TFs and others	PHF8	Pluripotent stem cell	hESC H1	10414	305/3077	12/26	-5.56543	-2.20352	0.214765
SRX7719078	TFs and others	SMAD3	Others	H69	12184	510/3077	15/26	-5.56093	-2.20352	0.287293
SRX5527609	TFs and others	EP300	Cardiovascular	HAEC	19398	199/3077	10/26	-5.49777	-2.19151	0.168151
SRX2897220	TFs and others	ESR1	Breast	Breast cancer cells	14930	208/3077	10/26	-5.33011	-2.06961	0.175756
SRX7972427	TFs and others	MKL1	Epidermis	MKL-1	27136	393/3077	13/26	-5.24623	-2.02712	0.255444
SRX5738756	TFs and others	Crotonyllysine	Pluripotent stem cell	hESC derived Endodermal cells	27111	331/3077	12/26	-5.19936	-2.01804	0.233073
SRX2251223	TFs and others	BRD4	Prostate	C4-2	29879	339/3077	12/26	-5.09326	-1.97303	0.238707
SRX8080544	TFs and others	Epitope tags	Breast	Mammary gland ductal carcinoma	18774	822/3077	18/26	-5.0874	-1.97303	0.385874
SRX4060992	TFs and others	TRPS1	Breast	T-47D	536	3/3077	3/26	-4.98804	-1.93633	0.00844979
SRX5527615	TFs and others	EP300	Cardiovascular	HUVEC	27870	285/3077	11/26	-4.98482	-1.93633	0.218926
SRX5527617	TFs and others	EP300	Cardiovascular	HUVEC	26078	350/3077	12/26	-4.95198	-1.93633	0.246452
SRX9607924	TFs and others	TFAP2A	Epidermis	M21	17555	655/3077	16/26	-4.94156	-1.93633	0.345913
SRX10657965	TFs and others	Epitope tags	Blood	NALM-6	9143	295/3077	11/26	-4.84434	-1.86259	0.226608
SRX3285604	TFs and others	KDM5B	Breast	FULR	9688	242/3077	10/26	-4.762	-1.82535	0.204485
SRX4060991	TFs and others	TRPS1	Breast	T-47D	434	4/3077	3/26	-4.74742	-1.82535	0.0112664
SRX4116561	TFs and others	FOXP1	Blood	B cells	8097	367/3077	12/26	-4.74343	-1.82535	0.258423
SRX593748	TFs and others	SFPQ	Breast	MCF-7	92503	369/3077	12/26	-4.71963	-1.82086	0.259831
SRX534844	TFs and others	CHD8	Neural	Neural Stem Cells	24387	523/3077	14/26	-4.63505	-1.75476	0.31566
SRX8246294	TFs and others	FGFR1	Breast	MCF-7	6424	148/3077	8/26	-4.6095	-1.74694	0.156321
SRX7719081	TFs and others	SMAD3	Others	H69	11378	453/3077	13/26	-4.57263	-1.7271	0.294443
SRX119639	TFs and others	Epitope tags	Lung	A549	1966	153/3077	8/26	-4.50903	-1.67989	0.161602
SRX4937340	TFs and others	MED1	Digestive tract	HCT 116	11020	42/3077	5/26	-4.47799	-1.66465	0.0709782
SRX3160997	TFs and others	BCL11A	Blood	HUDEP-2	2429	112/3077	7/26	-4.43548	-1.64263	0.135197
SRX8321653	TFs and others	CDYL2	Breast	MCF-7	23615	328/3077	11/26	-4.41684	-1.64263	0.251957
SRX1878887	TFs and others	BRD4	Muscle	Rh-4	3423	113/3077	7/26	-4.41177	-1.64263	0.136404
SRX7030913	TFs and others	HEXIM1	Breast	MCF-7	4217	160/3077	8/26	-4.37423	-1.6287	0.168996
SRX2897208	TFs and others	ESR1	Breast	Breast cancer cells	26916	726/3077	16/26	-4.353	-1.6287	0.383409
SRX1787312	TFs and others	KDM2B	Blood	OCI-LY1	14641	402/3077	12/26	-4.34762	-1.6287	0.283068
SRX4937336	TFs and others	MED1	Digestive tract	HCT 116	11386	45/3077	5/26	-4.34513	-1.6287	0.0760481
SRX3285594	TFs and others	KDM5B	Breast	MCF-7	9112	272/3077	10/26	-4.3307	-1.6265	0.229834
SRX1813533	TFs and others	Epitope tags	Blood	MV-4-11	9572	216/3077	9/26	-4.30436	-1.61206	0.202795
SRX5089557	TFs and others	BRD4	Breast	MCF-7	15111	483/3077	13/26	-4.27449	-1.59377	0.313942
SRX9550859	TFs and others	FOXA1	Prostate	Prostate cancer	34888	738/3077	16/26	-4.26061	-1.59117	0.389747
SRX2796992	TFs and others	ERF	Prostate	VCaP	5886	81/3077	6/26	-4.22236	-1.56392	0.114072
SRX209673	TFs and others	EP300	Neural	Fetal brain	4672	83/3077	6/26	-4.16626	-1.51854	0.116889
SRX3256874	TFs and others	BCOR	Pluripotent stem cell	hESC H1	18331	497/3077	13/26	-4.14295	-1.50627	0.323042
SRX625674	TFs and others	IKZF1	Blood	Pre-B ALL 	10492	174/3077	8/26	-4.1231	-1.50627	0.183783
SRX4484982	TFs and others	RUNX2	Blood	SEM	73053	1394/3077	22/26	-4.11599	-1.50627	0.535409
SRX10881804	TFs and others	SMARCC2	Kidney	G-401	14089	854/3077	17/26	-4.11356	-1.50627	0.424478
SRX1079388	TFs and others	SUMO2	Prostate	VCaP	26648	759/3077	16/26	-4.10343	-1.50569	0.400837
SRX10881854	TFs and others	ARID2	Kidney	G-401	3859	292/3077	10/26	-4.07247	-1.49793	0.246734
SRX7818474	TFs and others	Epitope tags	Neural	hTERT RPE-1	2609	52/3077	5/26	-4.06661	-1.49793	0.0878778
SRX6473436	TFs and others	Epitope tags	Pluripotent stem cell	hESC derived neural crests	14564	293/3077	10/26	-4.06011	-1.49793	0.247579
SRX7719077	TFs and others	SMAD3	Others	H69	10619	430/3077	12/26	-4.05946	-1.49793	0.302784
SRX7719080	TFs and others	SMAD3	Others	H69	10951	432/3077	12/26	-4.03975	-1.49577	0.304192
SRX673749	TFs and others	MED1	Breast	MCF-7	2426	179/3077	8/26	-4.0388	-1.49577	0.189064
SRX9178811	TFs and others	HAP1	Blood	HAP1	7183	88/3077	6/26	-4.03199	-1.49577	0.12393
SRX6800702	TFs and others	IRF4	Blood	CAR-T cells	8961	298/3077	10/26	-3.99901	-1.4709	0.251804
SRX4017892	TFs and others	TCF7	Breast	MCF 10A	15558	519/3077	13/26	-3.94521	-1.42507	0.337342
SRX2323891	TFs and others	KMT2A	Kidney	293	5478	92/3077	6/26	-3.93024	-1.41793	0.129563
SRX895437	TFs and others	SUMO2	Prostate	VCaP	11098	372/3077	11/26	-3.9193	-1.41722	0.285756
SRX1660871	TFs and others	TRIM25	Breast	Breast cancer cells	8898	445/3077	12/26	-3.91429	-1.41722	0.313346
SRX8037076	TFs and others	KLF5	Lung	HARA	10215	694/3077	15/26	-3.90403	-1.41438	0.390944
SRX8570845	TFs and others	HAP1	Blood	KBM-7	32790	447/3077	12/26	-3.89539	-1.41304	0.314755
SRX689470	TFs and others	BCL6	Blood	OCI-LY1	22733	791/3077	16/26	-3.87436	-1.39919	0.417736
SRX1478537	TFs and others	EP300	Kidney	Kidney Cortex	15725	612/3077	14/26	-3.85917	-1.39106	0.369376
SRX2251225	TFs and others	BRD4	Prostate	C4-2	24585	248/3077	9/26	-3.84861	-1.38745	0.232839
SRX8175102	TFs and others	EED	Pluripotent stem cell	ES cells	18127	59/3077	5/26	-3.82363	-1.36931	0.0997075
SRX1690201	TFs and others	BRD4	Neural	BE(2)-C	5348	142/3077	7/26	-3.80796	-1.36037	0.17141
SRX7728608	TFs and others	EP300	Pluripotent stem cell	hESC H9	23691	709/3077	15/26	-3.79356	-1.3601	0.399393
SRX8363485	TFs and others	ARID1A	Neural	NGP	8397	458/3077	12/26	-3.79326	-1.3601	0.3225
SRX476925	TFs and others	SNAI2	Epidermis	Keratinocytes	17394	538/3077	13/26	-3.78267	-1.3601	0.349691
SRX9702210	TFs and others	IRF3	Blood	MM.1S	28869	1221/3077	20/26	-3.78175	-1.3601	0.51586
SRX9562900	TFs and others	BRD9	Muscle	RH-4	1694	11/3077	3/26	-3.74734	-1.33194	0.0309826
SRX3591431	TFs and others	BRD4	Blood	B-CLL cells	11204	718/3077	15/26	-3.72873	-1.31949	0.404463
SRX476921	TFs and others	SNAI2	Epidermis	Keratinocytes	28625	720/3077	15/26	-3.71446	-1.31129	0.40559
SRX203388	TFs and others	BRD4	Blood	Plasma Cells	4499	148/3077	7/26	-3.69993	-1.30366	0.178653
SRX3285610	TFs and others	KDM5B	Breast	MCF-7	7683	260/3077	9/26	-3.69493	-1.30366	0.244105
SRX9187408	TFs and others	HDAC1	Pancreas	MIA Paca-2	9334	550/3077	13/26	-3.68369	-1.29825	0.357491
SRX2765965	TFs and others	HMGB2	Cardiovascular	HUVEC	3554	263/3077	9/26	-3.65781	-1.28339	0.246922
SRX4116559	TFs and others	FOXP1	Blood	B cells	8899	398/3077	11/26	-3.6574	-1.28339	0.305729
SRX4193368	TFs and others	SMARCA4	Prostate	22Rv1	5006	105/3077	6/26	-3.62942	-1.26101	0.147871
SRX424010	TFs and others	KDM4C	Digestive tract	KYSE-150	10469	266/3077	9/26	-3.62118	-1.25902	0.249738
SRX10722431	TFs and others	BCL11B	Blood	T-ALL	7216	644/3077	14/26	-3.61424	-1.25902	0.38869
SRX10881806	TFs and others	PBRM1	Kidney	G-401	10235	830/3077	16/26	-3.61104	-1.25902	0.438333
SRX3256864	TFs and others	PCGF1	Pluripotent stem cell	hESC H1	17539	404/3077	11/26	-3.59992	-1.25323	0.310338
SRX5313204	TFs and others	TP53	Digestive tract	HCT 116	4732	269/3077	9/26	-3.58503	-1.24444	0.252555
SRX7540325	TFs and others	BRD4	Breast	MCF-7	13302	482/3077	12/26	-3.58066	-1.24444	0.3394
SRX359892	TFs and others	HOXA4	Digestive tract	LoVo	8802	1115/3077	19/26	-3.57132	-1.24024	0.495869
SRX3160998	TFs and others	BCL11A	Blood	HUDEP-2	4008	156/3077	7/26	-3.56324	-1.23994	0.18831
SRX476922	TFs and others	SNAI2	Epidermis	Keratinocytes	29527	742/3077	15/26	-3.56092	-1.23994	0.417983
SRX6977280	TFs and others	Epitope tags	Neural	BE(2)-C	5870	912/3077	17/26	-3.55405	-1.23845	0.453306
SRX359409	TFs and others	CREBBP	Kidney	293	10317	567/3077	13/26	-3.54809	-1.23845	0.368541
SRX3657345	TFs and others	Epitope tags	Kidney	293	27855	1130/3077	19/26	-3.54471	-1.23845	0.50254
SRX9178850	TFs and others	HAP1	Blood	HAP1	11020	213/3077	8/26	-3.52805	-1.22659	0.224976
SRX702546	TFs and others	CHD8	Pluripotent stem cell	iPS derived neural cells	12295	749/3077	15/26	-3.51332	-1.22175	0.421926
SRX288274	TFs and others	GATA6	Pancreas	PA-TU-8988S	7556	490/3077	12/26	-3.51273	-1.22175	0.345033
SRX1892835	TFs and others	TFAP4	Digestive tract	COLO 320	36160	927/3077	17/26	-3.50912	-1.22175	0.460762
SRX5794314	TFs and others	TCF7	Breast	Breast organoids	1233	160/3077	7/26	-3.4978	-1.21938	0.193138
SRX327757	TFs and others	MED1	Blood	MM.1S	7085	660/3077	14/26	-3.49761	-1.21938	0.398347
SRX7196721	TFs and others	BMI1	Neural	SF8628	19935	416/3077	11/26	-3.48808	-1.21832	0.319556
SRX4708071	TFs and others	HNRNPL	Blood	K-562	2448	112/3077	6/26	-3.48363	-1.21832	0.157729
SRX9674627	TFs and others	BRD9	Muscle	Rh-4	1632	14/3077	3/26	-3.48319	-1.21832	0.0394323
SRX5668135	TFs and others	KMT2A	Blood	IMS-M2	2753	495/3077	12/26	-3.47099	-1.21173	0.348554
SRX5416008	TFs and others	WDR5	Liver	SMMC-7721	22521	279/3077	9/26	-3.46791	-1.21173	0.261943
SRX5486428	TFs and others	GFP	Digestive tract	HCT 116	12539	496/3077	12/26	-3.4627	-1.2108	0.349258
SRX666558	TFs and others	Epitope tags	Breast	T-47D	14483	758/3077	15/26	-3.45299	-1.20533	0.426996
SRX3468026	TFs and others	SS18	Others	Aska	2700	72/3077	5/26	-3.44231	-1.20262	0.121677
SRX5738752	TFs and others	Crotonyllysine	Pluripotent stem cell	ES cells	23186	220/3077	8/26	-3.43451	-1.20262	0.232369
SRX119641	TFs and others	Epitope tags	Lung	A549	3144	282/3077	9/26	-3.43374	-1.20262	0.26476
