SRX7196715	TFs and others	BMI1	Neural	SU-DIPG-IV	22502	157/271	75/450	-29.5469	-25.2826	3.47601
SRX3657345	TFs and others	Epitope tags	Kidney	293	27855	224/271	205/450	-23.2758	-19.4886	1.81442
SRX4892334	TFs and others	Epitope tags	Kidney	293	27849	224/271	205/450	-23.2758	-19.4886	1.81442
SRX1660873	TFs and others	TRIM25	Breast	Breast cancer cells	25717	156/271	96/450	-21.8831	-18.2208	2.69834
SRX265225	TFs and others	TCF12	Blood	ME-1	11836	146/271	84/450	-21.7359	-18.1705	2.88614
SRX9317685	TFs and others	EP300	Blood	Fujioka	12598	152/271	92/450	-21.5156	-18.0294	2.74346
SRX6602363	TFs and others	ARNTL	Neural	Glioma stem cells	7860	141/271	79/450	-21.2709	-17.8708	2.96371
SRX6602360	TFs and others	ARNTL	Neural	Glioma stem cells	6718	131/271	67/450	-21.2321	-17.8708	3.24668
SRX8726297	TFs and others	BMI1	Others	Tumor	14115	171/271	121/450	-20.8651	-17.555	2.34668
SRX5416007	TFs and others	PTEN	Liver	SMMC-7721	22609	120/271	56/450	-20.6906	-17.4263	3.55825
SRX063921	TFs and others	ERG	Blood	K-562	19370	164/271	112/450	-20.606	-17.383	2.43147
SRX2207918	TFs and others	ATF3	Epidermis	CS1AN	30101	216/271	200/450	-20.544	-17.3588	1.79336
SRX4708020	TFs and others	HNRNPC	Liver	Hep G2	10020	155/271	101/450	-20.2113	-17.0609	2.54832
SRX1280451	TFs and others	NRF1	Breast	HCC1954	12889	193/271	160/450	-20.0267	-16.9333	2.003
SRX5600893	TFs and others	OLIG2	Neural	Prefrontal Cortex	9713	211/271	192/450	-20.0216	-16.9333	1.82484
SRX8949802	TFs and others	ASCL1	Unclassified	Unclassified	20597	180/271	139/450	-19.9524	-16.8922	2.15031
SRX1514973	TFs and others	GFP	Kidney	293	19348	228/271	228/450	-19.8701	-16.8362	1.66052
SRX2014504	TFs and others	RUNX1	Blood	Jurkat	33270	183/271	146/450	-19.4542	-16.4451	2.08133
SRX5576989	TFs and others	CREB1	Lung	A549	19952	247/271	275/450	-19.2918	-16.3062	1.49145
SRX2731517	TFs and others	NCAPH2	Kidney	293	10745	172/271	130/450	-18.9715	-16.0082	2.19699
SRX2731518	TFs and others	NCAPH2	Kidney	293	9884	161/271	114/450	-18.9344	-15.9923	2.34512
SRX8949797	TFs and others	ASCL1	Unclassified	Unclassified	22112	217/271	210/450	-18.7586	-15.8367	1.71587
SRX063920	TFs and others	ERG	Blood	K-562	10128	126/271	69/450	-18.7042	-15.8016	3.03225
SRX265227	TFs and others	TAL1	Blood	ME-1	7018	105/271	46/450	-18.5619	-15.6778	3.79031
SRX8321653	TFs and others	CDYL2	Breast	MCF-7	23615	133/271	78/450	-18.5051	-15.6387	2.83139
SRX026653	TFs and others	ERG	Blood	CD34 Hematopoietic stem cells	22246	128/271	72/450	-18.4538	-15.6044	2.95203
SRX7196721	TFs and others	BMI1	Neural	SF8628	19935	131/271	76/450	-18.3719	-15.5389	2.86221
SRX6602361	TFs and others	ARNTL	Neural	Glioma stem cells	5924	109/271	51/450	-18.1583	-15.3418	3.54895
SRX10313958	TFs and others	ZBTB7A	Blood	HUDEP-2	25125	240/271	263/450	-18.1437	-15.3418	1.5153
