SRX6743819	TFs and others	TFEB	Pluripotent stem cell	iPS cells	13773	199/416	177/709	-14.1307	-10.2338	1.91616
SRX1660873	TFs and others	TRIM25	Breast	Breast cancer cells	25717	242/416	243/709	-14.1301	-10.2338	1.69731
SRX5416007	TFs and others	PTEN	Liver	SMMC-7721	22609	179/416	150/709	-13.7756	-10.1672	2.03383
SRX7196715	TFs and others	BMI1	Neural	SU-DIPG-IV	22502	236/416	236/709	-13.7624	-10.1672	1.70433
SRX10567335	TFs and others	HMGB1	Cardiovascular	HUVEC	8991	148/416	112/709	-13.1222	-9.62386	2.25215
SRX1660872	TFs and others	TRIM25	Breast	Breast cancer cells	16755	194/416	176/709	-12.9206	-9.50144	1.87863
SRX063920	TFs and others	ERG	Blood	K-562	10128	208/416	198/709	-12.7818	-9.42959	1.7904
SRX7135363	TFs and others	HDAC2	Blood	K-562	3766	47/416	211/709	-12.7138	-9.41958	0.379637
SRX026653	TFs and others	ERG	Blood	CD34 Hematopoietic stem cells	22246	205/416	196/709	-12.4045	-9.20519	1.78259
SRX9498684	TFs and others	TBP	Blood	K-562	4525	76/416	274/709	-12.4025	-9.20519	0.472733
SRX1041842	TFs and others	TRIM24	Prostate	LNCAP	13175	269/416	302/709	-12.0205	-8.86937	1.51809
SRX8321653	TFs and others	CDYL2	Breast	MCF-7	23615	199/416	189/709	-11.9875	-8.86937	1.7945
SRX9534426	TFs and others	POU2AF1	Blood	Tonsil germinal center cells	12453	75/416	268/709	-11.8729	-8.78953	0.476957
SRX12118513	TFs and others	POU2AF1	Blood	OCI-LY-7	14561	66/416	247/709	-11.6285	-8.60728	0.455407
SRX6099458	TFs and others	POU2AF1	Blood	DLBCL	14567	66/416	247/709	-11.6285	-8.60728	0.455407
SRX5416008	TFs and others	WDR5	Liver	SMMC-7721	22521	170/416	150/709	-11.4891	-8.49591	1.93157
SRX063922	TFs and others	ERG	Blood	K-562	20765	291/416	346/709	-11.4239	-8.46706	1.43341
