SRX8706937	TFs and others	E2F1	Prostate	LNCAP	13977	156/281	393/541	-5.93111	-2.10636	0.764228
SRX8706938	TFs and others	E2F1	Prostate	LNCAP	12750	149/281	381/541	-5.92944	-2.10636	0.752926
SRX3800331	TFs and others	STAG1	Others	RT-112	29027	168/281	407/541	-5.17946	-1.5713	0.794705
SRX2565135	TFs and others	E2F1	Prostate	LNCAP	17511	187/281	436/541	-4.94109	-1.5713	0.825745
SRX150556	TFs and others	E2F1	Breast	MCF-7	17635	151/281	375/541	-4.90789	-1.5713	0.775241
SRX5286307	TFs and others	AR	Prostate	LNCAP	43005	147/281	368/541	-4.85598	-1.5713	0.76906
SRX6473437	TFs and others	Epitope tags	Pluripotent stem cell	hESC derived neural crests	25439	210/281	471/541	-4.81445	-1.5713	0.858399
SRX5286309	TFs and others	AR	Prostate	LNCAP	28220	173/281	412/541	-4.79232	-1.5713	0.808425
DRX234811	TFs and others	MEAF6	Kidney	293	13230	137/281	349/541	-4.71869	-1.54882	0.755764
SRX128100	TFs and others	TFAP2C	Breast	BT-474	41857	161/281	391/541	-4.65471	-1.5306	0.792757
SRX992662	TFs and others	E2F1	Prostate	LNCAP	17851	186/281	431/541	-4.51893	-1.47833	0.830858
SRX250091	TFs and others	MYC	Breast	MDA-MB-453	26756	194/281	444/541	-4.50209	-1.47833	0.84122
SRX334246	TFs and others	E2F1	Unclassified	Unclassified	10415	128/281	330/541	-4.4885	-1.47833	0.74677
SRX689368	TFs and others	WDR5	Kidney	293	10759	112/281	298/541	-4.4261	-1.47061	0.72359
SRX10333912	TFs and others	NELFA	Digestive tract	DLD-1	10941	137/281	346/541	-4.41863	-1.47061	0.762317
DRX300417	TFs and others	MEAF6	Kidney	293	11185	122/281	316/541	-4.30546	-1.44451	0.743299
SRX150446	TFs and others	E2F1	Uterus	HeLa	9552	106/281	285/541	-4.29875	-1.44451	0.716064
SRX1726517	TFs and others	TFDP1	Blood	U-266	2974	19/281	90/541	-4.291	-1.44451	0.406445
SRX9178818	TFs and others	HAP1	Blood	HAP1	12304	139/281	348/541	-4.28987	-1.44451	0.769
SRX054571	TFs and others	Epitope tags	Breast	MCF-7	15107	149/281	365/541	-4.24717	-1.44353	0.785931
