SRX1674506	TFs and others	MBD3	Uterus	HeLa	35004	133/257	130/740	-24.1423	-19.8722	2.94582
SRX5527615	TFs and others	EP300	Cardiovascular	HUVEC	27870	120/257	118/740	-20.8692	-16.9002	2.92818
SRX5527609	TFs and others	EP300	Cardiovascular	HAEC	19398	98/257	81/740	-19.6408	-15.8478	3.48369
SRX5527607	TFs and others	EP300	Cardiovascular	HAEC	15525	87/257	73/740	-16.5408	-12.8728	3.43159
SRX2897220	TFs and others	ESR1	Breast	Breast cancer cells	14930	108/257	114/740	-16.4051	-12.834	2.72783
SRX5738756	TFs and others	Crotonyllysine	Pluripotent stem cell	hESC derived Endodermal cells	27111	117/257	140/740	-15.2714	-11.7795	2.40634
SRX5527617	TFs and others	EP300	Cardiovascular	HUVEC	26078	129/257	171/740	-14.6789	-11.2539	2.17216
SRX5738755	TFs and others	Crotonyllysine	Pluripotent stem cell	hESC derived Endodermal cells	24048	107/257	122/740	-14.6203	-11.2533	2.52536
SRX9178850	TFs and others	HAP1	Blood	HAP1	11020	100/257	109/740	-14.3351	-11.0193	2.64163
SRX6473440	TFs and others	Epitope tags	Pluripotent stem cell	hESC derived neural crests	16269	101/257	115/740	-13.6271	-10.357	2.52884
SRX5738754	TFs and others	Crotonyllysine	Pluripotent stem cell	hESC derived Endodermal cells	24362	111/257	140/740	-13.055	-9.83311	2.28293
SRX9178826	TFs and others	HAP1	Blood	HAP1	14614	136/257	199/740	-13.024	-9.83311	1.96782
SRX6473437	TFs and others	Epitope tags	Pluripotent stem cell	hESC derived neural crests	25439	179/257	318/740	-12.8242	-9.66807	1.62078
SRX9178832	TFs and others	HAP1	Blood	HAP1	15452	143/257	219/740	-12.5867	-9.46922	1.88014
SRX5738752	TFs and others	Crotonyllysine	Pluripotent stem cell	ES cells	23186	92/257	102/740	-12.5632	-9.46922	2.59709
SRX9178818	TFs and others	HAP1	Blood	HAP1	12304	111/257	144/740	-12.3826	-9.31665	2.21952
SRX5738753	TFs and others	Crotonyllysine	Pluripotent stem cell	ES cells	22856	98/257	116/740	-12.2329	-9.19328	2.43258
