SRX217738	TFs and others	TAF3	Digestive tract	HCT 116	12045	37/103	607/969	-6.61778	-2.84333	0.573455
SRX359880	TFs and others	ATF2	Digestive tract	LoVo	7481	33/103	565/969	-6.41557	-2.84333	0.54948
SRX8570844	TFs and others	HAP1	Blood	KBM-7	30809	15/103	376/969	-6.34225	-2.84333	0.37531
SRX3881555	TFs and others	O-GlcNAc	Prostate	LNCAP	4602	19/103	418/969	-6.2904	-2.84333	0.427626
SRX5738755	TFs and others	Crotonyllysine	Pluripotent stem cell	hESC derived Endodermal cells	24048	11/103	325/969	-6.27718	-2.84333	0.318417
SRX5316105	TFs and others	O-GlcNAc	Prostate	LNCAP	5053	20/103	428/969	-6.24266	-2.84333	0.439615
SRX359916	TFs and others	RELA	Digestive tract	LoVo	5895	33/103	564/969	-6.20901	-2.84333	0.550454
SRX3737118	TFs and others	NELFA	Kidney	293	10813	33/103	564/969	-6.20901	-2.84333	0.550454
SRX5316108	TFs and others	O-GlcNAc	Prostate	PC-3	5364	25/103	481/969	-6.1373	-2.82278	0.488969
SRX12118515	TFs and others	POU2F2	Blood	OCI-LY-7	27492	22/103	445/969	-5.96915	-2.73998	0.465103
SRX190335	TFs and others	SIX5	Lung	A549	4434	10/103	302/969	-5.96735	-2.73998	0.311515
SRX2314263	TFs and others	SUPT5H	Blood	MOLT-4	13839	63/103	799/969	-5.80511	-2.61553	0.741789
SRX8570845	TFs and others	HAP1	Blood	KBM-7	32790	22/103	440/969	-5.74742	-2.5926	0.470388
SRX359960	TFs and others	TAL1	Digestive tract	LoVo	8703	40/103	617/969	-5.70461	-2.58197	0.609904
SRX326888	TFs and others	GABPA	Blood	Jurkat	18271	31/103	530/969	-5.65446	-2.57755	0.550266
SRX3230391	TFs and others	KLF10	Liver	Hep G2	10156	31/103	529/969	-5.64219	-2.57755	0.551306
SRX6935378	TFs and others	MYC	Neural	NB69	8797	22/103	436/969	-5.53407	-2.49575	0.474704
SRX3591428	TFs and others	BRD4	Blood	B-CLL cells	7917	15/103	354/969	-5.47697	-2.46912	0.398634
SRX1079385	TFs and others	SUMO2	Prostate	VCaP	41905	32/103	535/969	-5.43558	-2.46912	0.562708
SRX684292	TFs and others	SUPT5H	Uterus	HeLa	20213	52/103	709/969	-5.42406	-2.46912	0.689991
SRX198034	TFs and others	BRD4	Blood	CD4+ T cells	6950	16/103	365/969	-5.40759	-2.46912	0.412395
SRX100500	TFs and others	TAF1	Uterus	HeLa	10333	29/103	503/969	-5.39546	-2.46912	0.542396
SRX7972428	TFs and others	MKL2	Epidermis	MKL-2	31883	21/103	421/969	-5.35556	-2.44852	0.469271
SRX5316106	TFs and others	O-GlcNAc	Prostate	LNCAP	7836	42/103	624/969	-5.27409	-2.44774	0.633215
SRX2251223	TFs and others	BRD4	Prostate	C4-2	29879	15/103	350/969	-5.27364	-2.44774	0.40319
SRX1136734	TFs and others	JUND	Epidermis	Melanoma	4003	15/103	351/969	-5.27142	-2.44774	0.402041
SRX5316107	TFs and others	O-GlcNAc	Prostate	PC-3	1436	1/103	144/969	-5.27047	-2.44774	0.0653317
SRX5514042	TFs and others	MED12	Uterus	Uterin leiomyoma	4064	9/103	272/969	-5.26906	-2.44774	0.311286
SRX015825	TFs and others	ETS1	Blood	Jurkat (Clone E6-1)	5812	24/103	449/969	-5.25411	-2.44774	0.502865
SRX3345955	TFs and others	INTS13	Blood	HL-60	18756	60/103	767/969	-5.20391	-2.41555	0.73594
SRX10045366	TFs and others	BAP1	Blood	THP-1	11115	49/103	681/969	-5.19295	-2.41555	0.676917
SRX1898037	TFs and others	RAG1	Blood	REH	30711	5/103	211/969	-5.12902	-2.3654	0.222933
SRX9178818	TFs and others	HAP1	Blood	HAP1	12304	13/103	319/969	-5.03508	-2.28483	0.383389
SRX2009507	TFs and others	BRD2	Neural	SF8628	8466	16/103	354/969	-5.00006	-2.27325	0.42521
SRX684291	TFs and others	NELFE	Uterus	HeLa	13333	34/103	542/969	-4.98595	-2.27325	0.590155
SRX1637467	TFs and others	CDK9	Blood	MOLT-4	22025	26/103	462/969	-4.98571	-2.27325	0.529441
SRX4377537	TFs and others	BRD2	Breast	MDA-MB-231	16171	41/103	606/969	-4.94931	-2.24875	0.636499
SRX092568	TFs and others	HCFC1	Uterus	HeLa	3257	6/103	221/969	-4.93369	-2.24471	0.255414
SRX3591437	TFs and others	BRD4	Blood	B-CLL cells	11356	39/103	587/969	-4.88727	-2.20957	0.625048
SRX190205	TFs and others	REST	Lung	A549	11946	15/103	339/969	-4.87331	-2.20661	0.416273
SRX6102133	TFs and others	NELFE	Uterus	HeLa	14465	39/103	585/969	-4.85852	-2.20254	0.627184
SRX6102134	TFs and others	NELFE	Uterus	HeLa	14590	36/103	555/969	-4.77852	-2.16443	0.610234
SRX3881556	TFs and others	O-GlcNAc	Prostate	LNCAP	5174	28/103	479/969	-4.77518	-2.16443	0.549932
SRX5501660	TFs and others	DDX21	Epidermis	A-375	6639	29/103	490/969	-4.77138	-2.16443	0.556786
SRX6935381	TFs and others	MYC	Neural	SK-N-AS	8746	32/103	519/969	-4.76848	-2.16443	0.580055
SRX5501656	TFs and others	DDX21	Epidermis	A-375	6818	31/103	508/969	-4.7582	-2.16443	0.574096
SRX347427	TFs and others	STAT3	Blood	SU-DHL-4	8356	14/103	325/969	-4.75614	-2.16443	0.405258
SRX5316109	TFs and others	O-GlcNAc	Prostate	PC-3	2208	4/103	186/969	-4.7479	-2.16443	0.202318
SRX1758494	TFs and others	NELFE	Breast	MCF-7	5493	21/103	405/969	-4.743	-2.16443	0.48781
SRX1212238	TFs and others	CREB1	Prostate	LNCAP	12839	69/103	823/969	-4.68556	-2.11978	0.788744
SRX6473440	TFs and others	Epitope tags	Pluripotent stem cell	hESC derived neural crests	16269	15/103	335/969	-4.68098	-2.11978	0.421243
