SRX150511	TFs and others	CHD2	Uterus	HeLa	16185	256/407	1135/2340	-7.03032	-2.75897	1.29678
SRX150639	TFs and others	RFX5	Uterus	HeLa	18692	196/407	836/2340	-5.63429	-1.66397	1.34794
SRX150485	TFs and others	MAX	Uterus	HeLa	23835	260/407	1236/2340	-4.48999	-0.880677	1.20942
SRX5054307	TFs and others	FOSL2	Neural	Neural progenitor cells	1911	52/407	152/2340	-4.4745	-0.880677	1.9669
SRX1514976	TFs and others	GFP	Kidney	293	8220	94/407	342/2340	-4.45306	-0.880677	1.58024
SRX684297	TFs and others	CPSF3L	Uterus	HeLa	2864	2/407	90/2340	-4.12737	-0.634168	0.127764
SRX717857	TFs and others	EP300	Uterus	HeLa	13009	108/407	422/2340	-3.99762	-0.58558	1.47141
SRX5089554	TFs and others	BRD4	Breast	MCF-7	10139	9/407	160/2340	-3.9241	-0.58558	0.323403
SRX8536129	TFs and others	NFYB	Blood	HUDEP-2	3404	89/407	333/2340	-3.85371	-0.58558	1.53662
SRX9932053	TFs and others	STAT5A	Breast	MCF-7	12796	174/407	769/2340	-3.83568	-0.58558	1.3009
SRX190269	TFs and others	SP1	Lung	A549	29606	299/407	1494/2340	-3.81554	-0.58558	1.15065
SRX8536131	TFs and others	NFYB	Blood	HUDEP-2	6411	100/407	387/2340	-3.73952	-0.567829	1.48563
SRX1514975	TFs and others	GFP	Kidney	293	9616	108/407	429/2340	-3.72524	-0.567829	1.4474
DRX300415	TFs and others	JADE3	Kidney	293	11306	5/407	118/2340	-3.6686	-0.548716	0.243618
SRX6913079	TFs and others	BRD3	Blood	K-562	3134	8/407	144/2340	-3.63229	-0.548716	0.31941
SRX100552	TFs and others	SP1	Liver	Hep G2	19133	138/407	584/2340	-3.61595	-0.548716	1.35859
SRX3506185	TFs and others	Pan-acetyllysine	Liver	Hep G2	5307	2/407	83/2340	-3.58916	-0.548256	0.138539
SRX8536119	TFs and others	NFYB	Blood	HUDEP-2	8252	124/407	516/2340	-3.53999	-0.544734	1.38164
SRX1515062	TFs and others	GFP	Kidney	293	9351	98/407	385/2340	-3.51075	-0.544734	1.46348
SRX8337457	TFs and others	NFYA	Blood	HUDEP-2	4536	116/407	476/2340	-3.49578	-0.544734	1.40111
SRX8536120	TFs and others	NFYB	Blood	HUDEP-2	7952	128/407	538/2340	-3.46333	-0.544734	1.36788
SRX1672137	TFs and others	NR3C1	Lung	BEAS-2B	7586	104/407	416/2340	-3.45589	-0.544734	1.43735
SRX5286317	TFs and others	KLF17	Pluripotent stem cell	ES cells	2970	74/407	271/2340	-3.45436	-0.544734	1.56994
SRX100422	TFs and others	SP1	Pluripotent stem cell	hESC H1	15925	149/407	649/2340	-3.42461	-0.533468	1.31997
SRX8536130	TFs and others	NFYB	Blood	HUDEP-2	8287	112/407	460/2340	-3.35114	-0.477726	1.39985
SRX150356	TFs and others	STAT3	Uterus	HeLa	11084	88/407	340/2340	-3.32232	-0.47463	1.48808
SRX100550	TFs and others	SP1	Blood	K-562	3954	84/407	322/2340	-3.31462	-0.47463	1.49984
SRX8037076	TFs and others	KLF5	Lung	HARA	10215	110/407	452/2340	-3.27971	-0.455514	1.39919
SRX2671523	TFs and others	Epitope tags	Kidney	293	3888	57/407	197/2340	-3.23554	-0.426584	1.66353
SRX1672136	TFs and others	NR3C1	Lung	BEAS-2B	11867	149/407	658/2340	-3.20494	-0.410708	1.30191
SRX186618	TFs and others	MAZ	Lung	IMR-90	18778	195/407	908/2340	-3.17423	-0.394238	1.23472
SRX5391034	TFs and others	MLXIP	Muscle	Skeletal myotubes	26775	242/407	1177/2340	-3.15531	-0.39148	1.18212
SRX9932043	TFs and others	STAT5A	Breast	MCF-7	8189	140/407	610/2340	-3.14432	-0.39148	1.31953
SRX3506186	TFs and others	Pan-acetyllysine	Liver	Hep G2	3904	0/407	49/2340	-3.12969	-0.389815	0
SRX4708110	TFs and others	RBM25	Liver	Hep G2	36164	136/407	593/2340	-3.08818	-0.363689	1.31858
SRX5360650	TFs and others	KLF4	Epidermis	BJ	6469	76/407	288/2340	-3.07874	-0.363689	1.5172
SRX1674506	TFs and others	MBD3	Uterus	HeLa	35004	27/407	284/2340	-3.04811	-0.362427	0.546597
SRX266856	TFs and others	FOXA2	Pluripotent stem cell	hESC derived mesendodermal cells	18201	16/407	199/2340	-3.04258	-0.362427	0.462262
SRX1515063	TFs and others	GFP	Kidney	293	2221	30/407	82/2340	-3.03421	-0.362427	2.10343
SRX8616800	TFs and others	JUN	Lung	A549	1421	32/407	90/2340	-3.0257	-0.362427	2.04423
SRX6913076	TFs and others	BRD3	Blood	K-562	5282	18/407	215/2340	-3.0123	-0.362427	0.481344
SRX2548278	TFs and others	IRF4	Blood	KK1	4757	3/407	83/2340	-2.99162	-0.362427	0.207809
SRX9419925	TFs and others	BRD4	Breast	SK-BR-3	17676	151/407	676/2340	-2.98545	-0.362427	1.28426
SRX6060974	TFs and others	KLF5	Digestive tract	ESO-26	12778	137/407	600/2340	-2.98301	-0.362427	1.31278
SRX6853585	TFs and others	ARNT	Epidermis	SK-MEL-28	12829	113/407	476/2340	-2.98057	-0.362427	1.36488
SRX037418	TFs and others	NFYA	Blood	K-562	8885	145/407	644/2340	-2.96664	-0.358054	1.2945
SRX8602199	TFs and others	IRF4	Blood	NCI-H929	5345	14/407	180/2340	-2.95494	-0.358054	0.447174
SRX10881814	TFs and others	BRD9	Kidney	G-401	8140	27/407	280/2340	-2.93937	-0.358054	0.554405
SRX717860	TFs and others	EP300	Uterus	HeLa	16121	133/407	581/2340	-2.93921	-0.358054	1.31612
SRX6913078	TFs and others	BRD3	Blood	K-562	2094	4/407	94/2340	-2.92339	-0.35276	0.244655
SRX3789540	TFs and others	RUNX1	Blood	Acute myeloid leukemia	966	37/407	113/2340	-2.90344	-0.35276	1.88254
SRX186634	TFs and others	RFX5	Neural	SK-N-SH	6877	102/407	422/2340	-2.89341	-0.35276	1.38966
DRX234811	TFs and others	MEAF6	Kidney	293	13230	18/407	210/2340	-2.89271	-0.35276	0.492804
SRX4708109	TFs and others	RBM25	Liver	Hep G2	24545	113/407	478/2340	-2.87741	-0.35276	1.35916
SRX9932052	TFs and others	STAT5A	Breast	MCF-7	3450	89/407	358/2340	-2.87521	-0.35276	1.42932
SRX5661982	TFs and others	CREB1	Kidney	Kidney Cortex	32278	262/407	1308/2340	-2.86441	-0.35276	1.15164
SRX9298947	TFs and others	NR3C1	Lung	Lung cancer cell line	6100	35/407	106/2340	-2.8607	-0.35276	1.89838
SRX5289971	TFs and others	NR3C1	Lung	BEAS-2B	8504	139/407	615/2340	-2.85505	-0.35276	1.29945
SRX8536121	TFs and others	NFYB	Blood	HUDEP-2	6206	119/407	512/2340	-2.85326	-0.35276	1.33628
SRX9298957	TFs and others	NR3C1	Lung	Lung cancer cell line	4961	27/407	74/2340	-2.83737	-0.346006	2.09775
SRX9932051	TFs and others	STAT5A	Breast	MCF-7	8740	149/407	669/2340	-2.82716	-0.346006	1.28051
SRX5624367	TFs and others	SREBF2	Blood	Macrophages	24738	224/407	1088/2340	-2.82117	-0.346006	1.1837
SRX4342285	TFs and others	AHR	Blood	GM17212	3566	68/407	257/2340	-2.81802	-0.346006	1.52124
SRX150421	TFs and others	JUN	Uterus	HeLa	13125	117/407	501/2340	-2.79997	-0.34173	1.34267
SRX5391680	TFs and others	SMC3	Blood	Neutrophils	19658	135/407	598/2340	-2.79874	-0.34173	1.29794
SRX8337455	TFs and others	NFYA	Blood	HUDEP-2	7683	152/407	689/2340	-2.78405	-0.34173	1.26837
SRX5661984	TFs and others	CREB1	Kidney	Kidney Cortex	31397	258/407	1287/2340	-2.77531	-0.34173	1.15256
SRX684290	TFs and others	INTS3	Uterus	HeLa	7585	26/407	268/2340	-2.77062	-0.34173	0.557776
SRX5661983	TFs and others	CREB1	Kidney	Kidney Cortex	29137	255/407	1270/2340	-2.76629	-0.34173	1.1544
SRX8699802	TFs and others	TP53	Kidney	293	1106	0/407	42/2340	-2.76497	-0.34173	0
SRX8337456	TFs and others	NFYA	Blood	HUDEP-2	3712	89/407	360/2340	-2.76156	-0.34173	1.42138
SRX8337458	TFs and others	NFYA	Blood	HUDEP-1	4774	114/407	487/2340	-2.75043	-0.34173	1.34585
SRX5089551	TFs and others	BRD4	Breast	MCF-7	9212	15/407	184/2340	-2.74976	-0.34173	0.4687
SRX8337453	TFs and others	NFYA	Blood	HUDEP-2	6569	141/407	630/2340	-2.73284	-0.330718	1.28677
SRX9932055	TFs and others	STAT5A	Breast	MCF-7	6509	129/407	568/2340	-2.70045	-0.323979	1.30576
SRX368849	TFs and others	CDK8	Blood	MM.1S	2411	1/407	55/2340	-2.69922	-0.323979	0.104534
SRX5289973	TFs and others	NR3C1	Lung	BEAS-2B	5524	106/407	448/2340	-2.69323	-0.323979	1.36035
SRX8536118	TFs and others	NFYB	Blood	HUDEP-2	11191	137/407	611/2340	-2.68644	-0.323979	1.28914
SRX8616803	TFs and others	JUN	Lung	A549	1336	28/407	80/2340	-2.68317	-0.323979	2.01229
SRX9932059	TFs and others	STAT5A	Breast	MCF-7	3585	87/407	354/2340	-2.68098	-0.323979	1.41298
SRX6102131	TFs and others	SUPT5H	Uterus	HeLa	6514	28/407	280/2340	-2.67689	-0.323979	0.574939
SRX4892335	TFs and others	Epitope tags	Kidney	293	7305	89/407	363/2340	-2.64233	-0.323979	1.40963
SRX8380464	TFs and others	BRD4	Uterus	HeLa	35757	293/407	1501/2340	-2.64164	-0.323979	1.1223
SRX9206198	TFs and others	GFP	Digestive tract	HCT 116	13858	182/407	859/2340	-2.63378	-0.323979	1.21815
SRX1531781	TFs and others	MED1	Lung	A549	3966	56/407	204/2340	-2.63101	-0.323979	1.57826
SRX4374940	TFs and others	RBPJ	Breast	HCC1599	16119	184/407	868/2340	-2.62945	-0.323979	1.21876
