SRX7972427	TFs and others	MKL1	Epidermis	MKL-1	27136	27/273	58/190	-7.62017	-3.34854	0.323986
SRX7719078	TFs and others	SMAD3	Others	H69	12184	39/273	68/190	-7.00259	-3.06494	0.39916
SRX1674506	TFs and others	MBD3	Uterus	HeLa	35004	30/273	59/190	-6.8197	-3.06494	0.353883
SRX7972428	TFs and others	MKL2	Epidermis	MKL-2	31883	36/273	64/190	-6.73451	-3.06494	0.391484
SRX2251225	TFs and others	BRD4	Prostate	C4-2	24585	25/273	53/190	-6.60222	-3.02956	0.328288
SRX4377538	TFs and others	BRD2	Breast	MDA-MB-231	16922	67/273	91/190	-6.51164	-3.01816	0.512418
SRX2897208	TFs and others	ESR1	Breast	Breast cancer cells	26916	61/273	85/190	-6.28323	-2.8567	0.499461
SRX2537515	TFs and others	BRD2	Epidermis	SK-MEL-147	31443	124/273	131/190	-6.15842	-2.78988	0.658781
SRX367491	TFs and others	ASXL1	Kidney	293	13822	57/273	80/190	-5.97433	-2.70218	0.495879
SRX4213897	TFs and others	LIN9	Breast	MCF 10A	3540	35/273	60/190	-5.89939	-2.70218	0.405983
SRX9730740	TFs and others	BRD4	Blood	THP-1	23322	53/273	76/190	-5.75179	-2.70218	0.485348
SRX4401065	TFs and others	RELA	Blood	BJAB	1241	25/273	0/190	-5.69923	-2.70218	inf
SRX6049856	TFs and others	Epitope tags	Unclassified	Unclassified	3595	25/273	0/190	-5.69923	-2.70218	inf
SRX7719080	TFs and others	SMAD3	Others	H69	10951	35/273	59/190	-5.66251	-2.70218	0.412864
SRX9730741	TFs and others	BRD4	Blood	THP-1	22108	68/273	88/190	-5.63359	-2.70218	0.537796
SRX3271002	TFs and others	KDM1A	Pluripotent stem cell	hESC derived pancreatic cells	21954	37/273	61/190	-5.54963	-2.70218	0.422146
SRX11657276	TFs and others	Epitope tags	Blood	K-562	1066	23/273	0/190	-5.40457	-2.70218	inf
SRX2207927	TFs and others	PSMD1	Epidermis	CS1AN	1481	23/273	0/190	-5.40457	-2.70218	inf
SRX2842449	TFs and others	FOS	Bone	HOS	1017	23/273	0/190	-5.40457	-2.70218	inf
SRX2947200	TFs and others	RBPJ	Breast	MDA-MB-231	1125	23/273	0/190	-5.40457	-2.70218	inf
SRX4797407	TFs and others	LMNA	Cardiovascular	Myocytes, Cardiac	1424	23/273	0/190	-5.40457	-2.70218	inf
