SRX2207918	TFs and others	ATF3	Epidermis	CS1AN	30101	290/344	189/299	-9.03666	-4.91946	1.33367
SRX8616831	TFs and others	FOSL2	Lung	A549	12763	27/344	74/299	-8.36837	-4.55219	0.317135
SRX367491	TFs and others	ASXL1	Kidney	293	13822	231/344	136/299	-7.47941	-3.83933	1.47634
SRX8616832	TFs and others	FOSL2	Lung	A549	15092	28/344	71/299	-7.31693	-3.80179	0.342778
SRX8616837	TFs and others	FOSL2	Lung	A549	13286	20/344	59/299	-7.15918	-3.74095	0.294639
SRX190260	TFs and others	REST	Pluripotent stem cell	hESC derived neural cells	22218	182/344	96/299	-6.90004	-3.56099	1.64783
SRX1293531	TFs and others	KMT2A	Blood	MV-4-11	26361	285/344	194/299	-6.69258	-3.42047	1.2769
SRX2513053	TFs and others	TET2	Blood	Jurkat	25447	220/344	131/299	-6.453	-3.25784	1.4597
SRX8616825	TFs and others	FOSL2	Lung	A549	15824	35/344	76/299	-6.4208	-3.25784	0.400283
SRX1424886	TFs and others	CXXC1	Blood	SEM	13146	241/344	151/299	-6.32972	-3.21251	1.38724
SRX5266973	TFs and others	KDM4A	Blood	THP-1	15430	281/344	192/299	-6.15501	-3.0792	1.27209
SRX8616838	TFs and others	FOSL2	Lung	A549	11165	18/344	52/299	-6.07806	-3.04004	0.300872
SRX3737118	TFs and others	NELFA	Kidney	293	10813	198/344	114/299	-6.03857	-3.03531	1.50964
SRX3256862	TFs and others	KDM2B	Pluripotent stem cell	hESC H1	25577	308/344	224/299	-5.93611	-2.96503	1.19513
SRX8616839	TFs and others	JUNB	Lung	A549	13556	23/344	58/299	-5.88139	-2.94028	0.344677
SRX8616828	TFs and others	FOSL2	Lung	A549	16936	41/344	80/299	-5.7706	-2.85751	0.445458
SRX1503375	TFs and others	HNF1A	Gonad	Caput epididymis	4256	4/344	27/299	-5.56212	-2.67536	0.128768
SRX7719081	TFs and others	SMAD3	Others	H69	11378	211/344	128/299	-5.5354	-2.67347	1.4328
SRX8616834	TFs and others	FOSL2	Lung	A549	29257	116/344	156/299	-5.48984	-2.65859	0.646318
SRX8616798	TFs and others	JUN	Lung	A549	14319	37/344	74/299	-5.47229	-2.65859	0.434593
SRX3256876	TFs and others	KDM2B	Pluripotent stem cell	hESC H1	29582	312/344	231/299	-5.45358	-2.65859	1.17397
SRX8616826	TFs and others	FOSL2	Lung	A549	22407	128/344	166/299	-5.4	-2.62748	0.670216
SRX9795022	TFs and others	CHD7	Neural	Cerebellum	14171	192/344	112/299	-5.38296	-2.62748	1.49003
SRX4473673	TFs and others	ARID2	Gonad	BIN-67	8180	173/344	97/299	-5.3099	-2.59007	1.5502
SRX2281249	TFs and others	KMT2A	Blood	SEM	17528	250/344	165/299	-5.29335	-2.59007	1.31695
SRX335070	TFs and others	NFATC1	Cardiovascular	HUVEC	5233	113/344	51/299	-5.2923	-2.59007	1.92584
SRX4385551	TFs and others	SUPT5H	Digestive tract	HCT 116	3575	89/344	35/299	-5.26217	-2.58652	2.21022
SRX8616835	TFs and others	FOSL2	Lung	A549	14559	32/344	67/299	-5.25657	-2.58652	0.415134
SRX4367441	TFs and others	TBP	Lung	Bronchial tracheal epithelial cells	3351	93/344	38/299	-5.23781	-2.583	2.12722
SRX689368	TFs and others	WDR5	Kidney	293	10759	202/344	122/299	-5.19237	-2.55229	1.43914
SRX2166886	TFs and others	BRD4	Neural	Retina	13455	224/344	142/299	-5.11993	-2.50764	1.37111
SRX689370	TFs and others	WDR5	Kidney	293	16083	265/344	181/299	-5.1197	-2.50764	1.27257
SRX1650400	TFs and others	NR3C1	Lung	A549	7179	3/344	23/299	-5.08251	-2.48382	0.113372
SRX10131665	TFs and others	NELFCD	Lung	Bronchial tracheal epithelial cells	10829	230/344	148/299	-5.01727	-2.43154	1.35076
SRX6473439	TFs and others	Epitope tags	Pluripotent stem cell	hESC derived neural crests	36458	313/344	235/299	-4.93979	-2.36665	1.15768
SRX3256875	TFs and others	KDM2B	Pluripotent stem cell	hESC H1	30407	312/344	234/299	-4.86968	-2.31073	1.15891
SRX8510435	TFs and others	ATF4	Pancreas	L3.6	1744	1/344	18/299	-4.85573	-2.31073	0.0482881
SRX8449940	TFs and others	BAHCC1	Blood	Jurkat	22309	261/344	179/299	-4.84815	-2.31073	1.26736
SRX160847	TFs and others	IRF2	Blood	CD34+	2354	3/344	22/299	-4.78968	-2.26513	0.118525
SRX4708116	TFs and others	YY1	Liver	Hep G2	13946	248/344	166/299	-4.78028	-2.26513	1.29854
SRX5646089	TFs and others	IRF1	Blood	K-562	6910	26/344	57/299	-4.76247	-2.25805	0.396471
SRX8616846	TFs and others	JUNB	Lung	A549	13670	20/344	49/299	-4.73223	-2.25099	0.35477
