SRX1735651	TFs and others	FOXO1	Blood	Pre-leukemia stem cells	18888	117/300	93/156	-4.50493	-0.530562	0.654194
SRX063921	TFs and others	ERG	Blood	K-562	19370	164/300	116/156	-4.33494	-0.530562	0.735172
SRX209673	TFs and others	EP300	Neural	Fetal brain	4672	41/300	45/156	-3.86488	-0.363241	0.473778
SRX2166889	TFs and others	BRD4	Neural	Retina	11208	126/300	95/156	-3.77816	-0.363241	0.689684
SRX3800331	TFs and others	STAG1	Others	RT-112	29027	178/300	120/156	-3.74449	-0.363241	0.771333
SRX1091814	TFs and others	CTCFL	Blood	K-562	19775	175/300	118/156	-3.52869	-0.363241	0.771186
SRX475795	TFs and others	SPI1	Blood	GM12878	22039	50/300	50/156	-3.50857	-0.363241	0.52
SRX6473439	TFs and others	Epitope tags	Pluripotent stem cell	hESC derived neural crests	36458	245/300	146/156	-3.42379	-0.363241	0.872603
SRX4155859	TFs and others	MYCN	Neural	KELLY	33256	223/300	138/156	-3.41269	-0.363241	0.84029
SRX3927297	TFs and others	DPF2	Blood	MOLM-13	28821	53/300	51/156	-3.40012	-0.363241	0.540392
SRX150417	TFs and others	MAZ	Blood	K-562	29714	179/300	119/156	-3.38845	-0.363241	0.782185
SRX702114	TFs and others	SRF	Pluripotent stem cell	hESC derived mesendodermal cells	8898	34/300	38/156	-3.38082	-0.363241	0.465263
SRX063920	TFs and others	ERG	Blood	K-562	10128	115/300	87/156	-3.31031	-0.363241	0.687356
SRX1293534	TFs and others	PSIP1	Blood	MV-4-11	3885	22/300	29/156	-3.30999	-0.363241	0.394483
SRX10313958	TFs and others	ZBTB7A	Blood	HUDEP-2	25125	196/300	126/156	-3.2785	-0.363241	0.808889
SRX4155858	TFs and others	MYCN	Neural	KELLY	23632	201/300	128/156	-3.20402	-0.363241	0.816563
SRX7785401	TFs and others	Epitope tags	Blood	Jurkat	14221	43/300	44/156	-3.20342	-0.363241	0.508182
SRX4155661	TFs and others	CTCFL	Neural	KELLY	11689	39/300	41/156	-3.1752	-0.363241	0.494634
SRX189238	TFs and others	MAX	Lung	NCI-H128	24130	187/300	122/156	-3.15994	-0.363241	0.797049
DRX234808	TFs and others	KAT7	Kidney	293	1700	8/300	17/156	-3.14683	-0.363241	0.244706
SRX541387	TFs and others	EZH2	Blood	Multiple Myeloma	11656	56/300	52/156	-3.14643	-0.363241	0.56
SRX8376366	TFs and others	ONECUT1	Pluripotent stem cell	hESC derived pancreatic cells	13387	22/300	28/156	-3.07181	-0.31382	0.408571
SRX3511931	TFs and others	TFAP2A	Pluripotent stem cell	iPS cells	16159	103/300	79/156	-3.0575	-0.31382	0.677975
SRX7728608	TFs and others	EP300	Pluripotent stem cell	hESC H9	23691	159/300	108/156	-3.03153	-0.306333	0.765556
SRX100479	TFs and others	EGR1	Blood	GM12878	12730	111/300	83/156	-3.00122	-0.304332	0.695422
SRX7701204	TFs and others	BRD4	Lung	NCI-H1963	9116	118/300	87/156	-2.98522	-0.304332	0.705287
SRX5574501	TFs and others	SMARCA4	Blood	CTV-1	15599	70/300	17/156	-2.96398	-0.304332	2.14118
SRX10313956	TFs and others	ZBTB7A	Blood	HUDEP-2	14385	148/300	102/156	-2.96258	-0.304332	0.75451
