SRX8037085	TFs and others	BRD4	Lung	HARA	22477	389/496	131/246	-11.2766	-7.08131	1.47276
SRX5527615	TFs and others	EP300	Cardiovascular	HUVEC	27870	400/496	140/246	-10.5592	-6.66494	1.41705
SRX5527617	TFs and others	EP300	Cardiovascular	HUVEC	26078	415/496	153/246	-9.63389	-5.91572	1.34527
SRX8037088	TFs and others	BRD4	Lung	HARA	24967	409/496	150/246	-9.32643	-5.7332	1.35234
SRX5757566	TFs and others	SMAD3	Breast	SUM 159PT	11483	369/496	127/246	-8.95902	-5.4627	1.44104
SRX9206198	TFs and others	GFP	Digestive tract	HCT 116	13858	363/496	124/246	-8.8128	-5.39566	1.45191
SRX7748766	TFs and others	BRD2	Digestive tract	DLD-1	25358	419/496	159/246	-8.66122	-5.31103	1.30698
SRX9419922	TFs and others	BRD4	Breast	SK-BR-3	30601	384/496	137/246	-8.54178	-5.24958	1.39016
SRX7551119	TFs and others	SETD1A	Uterus	HeLa	14212	389/496	142/246	-8.06075	-4.8197	1.35867
SRX1036365	TFs and others	RUNX1	Blood	Peripheral blood stem cells	17551	363/496	127/246	-7.97807	-4.78278	1.41761
SRX190189	TFs and others	TAF1	Uterus	ECC-1	11555	360/496	126/246	-7.88997	-4.74101	1.41705
SRX5527609	TFs and others	EP300	Cardiovascular	HAEC	19398	347/496	119/246	-7.84459	-4.74101	1.44623
SRX8037089	TFs and others	BRD4	Lung	HARA	22780	388/496	142/246	-7.82236	-4.74101	1.35518
SRX3852900	TFs and others	NELFE	Blood	K-562	9444	331/496	111/246	-7.64025	-4.61316	1.47897
SRX9419956	TFs and others	BRD4	Breast	SK-BR-3	26316	367/496	131/246	-7.63236	-4.61316	1.38947
SRX190264	TFs and others	CREB1	Liver	Hep G2	26190	392/496	146/246	-7.52115	-4.54926	1.33164
SRX9206199	TFs and others	GFP	Digestive tract	HCT 116	13651	360/496	127/246	-7.5141	-4.54926	1.40589
SRX5824579	TFs and others	BRD2	Breast	SUM 159PT	15456	382/496	140/246	-7.43948	-4.52996	1.35328
SRX7677723	TFs and others	SUPT5H	Digestive tract	DLD-1	17114	425/496	167/246	-7.43917	-4.52996	1.26219
SRX7677724	TFs and others	SUPT5H	Digestive tract	DLD-1	15043	406/496	155/246	-7.40897	-4.52996	1.29912
SRX2251225	TFs and others	BRD4	Prostate	C4-2	24585	373/496	135/246	-7.40303	-4.52996	1.37034
