SRX3660759	TFs and others	Hdac2	Blood	CD4 CD8 double negative cells	26954	373/688	788/2022	-11.389	-7.2864	1.39115
SRX3660760	TFs and others	Hdac2	Blood	CD4 CD8 double negative cells	32752	418/688	928/2022	-10.7659	-6.96433	1.3238
SRX3660775	TFs and others	Runx1	Blood	CD4 CD8 double negative cells	37622	423/688	963/2022	-9.4813	-5.95322	1.29094
SRX3660752	TFs and others	Chd4	Blood	CD4 CD8 double negative cells	27196	321/688	672/2022	-9.3714	-5.95322	1.40388
SRX3195537	TFs and others	Runx1	Blood	CD4 CD8 double negative cells	37621	422/688	962/2022	-9.35685	-5.95322	1.28923
SRX3660780	TFs and others	Bcl11b	Blood	CD4 CD8 double negative cells	27675	379/688	842/2022	-8.94925	-5.6248	1.32288
SRX2499705	TFs and others	Ets1	Blood	Scid.adh.2c2	20065	302/688	629/2022	-8.73682	-5.47931	1.41107
SRX3660789	TFs and others	Hdac2	Blood	Scid.adh.2c2	21060	302/688	634/2022	-8.45701	-5.2575	1.39994
SRX3660772	TFs and others	Kdm1a	Blood	CD4 CD8 double negative cells	31855	390/688	887/2022	-8.1843	-5.03594	1.29221
SRX3660768	TFs and others	Rnf2	Blood	CD4 CD8 double negative cells	19765	296/688	625/2022	-7.9209	-4.83026	1.39189
SRX3660762	TFs and others	Hdac2	Blood	Bone Marrow Cells	32557	375/688	848/2022	-7.89147	-4.83026	1.29966
SRX3660771	TFs and others	Kdm1a	Blood	CD4 CD8 double negative cells	29352	365/688	821/2022	-7.81688	-4.79346	1.3066
SRX2499706	TFs and others	Ets1	Blood	Scid.adh.2c2	20123	294/688	626/2022	-7.56467	-4.57601	1.38028
SRX3660778	TFs and others	Runx1	Blood	Bone Marrow Cells	41254	392/688	905/2022	-7.49632	-4.561	1.27301
SRX3660779	TFs and others	Bcl11b	Blood	CD4 CD8 double negative cells	31292	408/688	952/2022	-7.48751	-4.561	1.25955
SRX2389674	TFs and others	Cbfb	Blood	Thymocytes	24931	373/688	851/2022	-7.43456	-4.53607	1.28817
SRX2499704	TFs and others	Ets1	Blood	Scid.adh.2c2	19037	290/688	618/2022	-7.37845	-4.50629	1.37912
SRX3195539	TFs and others	Runx1	Blood	CD4 CD8 double negative cells	36563	420/688	991/2022	-7.28354	-4.43802	1.24557
SRX7348144	TFs and others	Smc1a	Blood	CD4 CD8 double positive cells	39235	330/688	731/2022	-7.26187	-4.43802	1.32675
SRX3660776	TFs and others	Runx1	Blood	CD4 CD8 double negative cells	36531	420/688	994/2022	-7.17001	-4.36844	1.24181
SRX7348145	TFs and others	Smc1a	Blood	CD4 CD8 double positive cells	35676	308/688	673/2022	-7.0285	-4.24811	1.34502
SRX3660751	TFs and others	Chd4	Blood	CD4 CD8 double negative cells	13102	181/688	340/2022	-6.9076	-4.14742	1.56456
SRX4347892	TFs and others	Ctcf	Epidermis	Ear dermal cells	49384	217/688	434/2022	-6.77587	-4.05667	1.46948
SRX2389672	TFs and others	Cbfb	Blood	Thymocytes	26703	388/688	907/2022	-6.74815	-4.05667	1.25724
SRX2399085	TFs and others	Bcl11b	Blood	Thymocytes	29564	390/688	913/2022	-6.74445	-4.05667	1.25541
SRX2341414	TFs and others	Foxp3	Blood	Treg	17666	241/688	497/2022	-6.7443	-4.05667	1.42513
SRX5600784	TFs and others	Setd1a	Pluripotent stem cell	ES cells	19749	141/688	246/2022	-6.70747	-4.03623	1.68452
SRX3660756	TFs and others	Mta2	Blood	CD4 CD8 double negative cells	12589	171/688	319/2022	-6.66298	-4.00753	1.57543
SRX3660790	TFs and others	Hdac2	Blood	Scid.adh.2c2	17372	268/688	571/2022	-6.62286	-3.98265	1.3794
SRX7348143	TFs and others	Smc1a	Blood	CD4 CD8 double positive cells	37164	317/688	706/2022	-6.59366	-3.98115	1.31962
SRX3660773	TFs and others	Kdm1a	Blood	Bone Marrow Cells	31260	346/688	788/2022	-6.59239	-3.98115	1.29045
SRX5600782	TFs and others	Setd1a	Pluripotent stem cell	ES cells	29699	257/688	543/2022	-6.55658	-3.95913	1.391
SRX2399084	TFs and others	Bcl11b	Blood	Thymocytes	39474	444/688	1082/2022	-6.32287	-3.74464	1.206
