SRX4178805	TFs and others	Dendra2	Pluripotent stem cell	ES cells	22195	144/2203	1481/6051	-85.6846	-81.5744	0.267067
SRX3342572	TFs and others	Nelfa	Embryonic fibroblast	MEF	17495	95/2203	1215/6051	-81.4502	-77.641	0.214763
SRX4178813	TFs and others	Dendra2	Pluripotent stem cell	ES cells	22353	129/2203	1370/6051	-80.6586	-77.0255	0.258632
SRX2894853	TFs and others	Dr1	Pluripotent stem cell	ES cells	50081	212/2203	1717/6051	-79.6422	-76.134	0.339139
SRX2894851	TFs and others	Btaf1	Pluripotent stem cell	ES cells	68041	153/2203	1457/6051	-78.1755	-74.7643	0.288433
ERX2604591	TFs and others	Chd4	Pluripotent stem cell	ES cells	31414	143/2203	1407/6051	-77.3676	-74.0355	0.279161
SRX7554476	TFs and others	Runx3	Blood	CD8+ T cells	22952	176/2203	1540/6051	-76.3395	-73.0744	0.31391
SRX2609731	TFs and others	Btaf1	Pluripotent stem cell	ES cells	65720	150/2203	1424/6051	-75.8235	-72.6164	0.28933
SRX4167134	TFs and others	Taf2	Pluripotent stem cell	ES cells	21372	125/2203	1305/6051	-75.0416	-71.8856	0.263095
SRX2172642	TFs and others	Ctcf	Neural	Retina	17220	212/2203	1669/6051	-74.2935	-71.1833	0.348893
SRX2762170	TFs and others	Kmt2b	Pluripotent stem cell	ES cells	19434	143/2203	1379/6051	-74.1405	-71.0717	0.284829
SRX3491900	TFs and others	AML1-ETO	Spleen	Spleen	21164	141/2203	1358/6051	-72.8571	-69.8261	0.285188
SRX5251389	TFs and others	Foxh1	Pluripotent stem cell	ES cells	30251	173/2203	1481/6051	-71.0227	-68.0264	0.320851
SRX7554475	TFs and others	Runx3	Blood	CD8+ T cells	19356	158/2203	1414/6051	-70.8012	-67.8371	0.306917
SRX3491901	TFs and others	AML1-ETO	Spleen	Spleen	18116	122/2203	1254/6051	-70.7309	-67.7968	0.267224
SRX1602652	TFs and others	Kmt2b	Pluripotent stem cell	ES cells	15246	106/2203	1178/6051	-70.5599	-67.6538	0.247157
ERX2604605	TFs and others	Mbd3	Pluripotent stem cell	ES cells	45509	254/2203	1795/6051	-70.2553	-67.3755	0.388671
ERX2604634	TFs and others	Mbd3	Pluripotent stem cell	ES cells	46277	253/2203	1783/6051	-69.4017	-66.5468	0.389746
SRX6714136	TFs and others	Nelfa	Cardiovascular	Heart	15647	197/2203	1561/6051	-69.1015	-66.27	0.346638
SRX6714137	TFs and others	Nelfa	Cardiovascular	Heart	15263	177/2203	1478/6051	-68.9407	-66.1315	0.328936
SRX1906242	TFs and others	Ctcf	Neural	Hippocampus	14639	175/2203	1468/6051	-68.809	-66.021	0.327435
SRX8556272	TFs and others	Kmt2b	Pluripotent stem cell	ES cells	22101	188/2203	1521/6051	-68.6813	-65.9135	0.339501
SRX4615040	TFs and others	Nr3c1	Cardiovascular	Lung endothelial cells	20254	190/2203	1525/6051	-68.2405	-65.492	0.342213
SRX2498434	TFs and others	Epitope tags	Pluripotent stem cell	ES cells	23316	167/2203	1430/6051	-68.1645	-65.4345	0.32077
SRX1906241	TFs and others	Ctcf	Neural	Hippocampus	16341	188/2203	1516/6051	-68.1083	-65.396	0.340621
SRX4615043	TFs and others	Nr3c1	Cardiovascular	Lung endothelial cells	19581	172/2203	1450/6051	-68.0627	-65.3675	0.325817
ERX2604531	TFs and others	Chd4	Pluripotent stem cell	ES cells	50977	263/2203	1808/6051	-67.9246	-65.2457	0.399549
ERX2604630	TFs and others	Chd4	Pluripotent stem cell	ES cells	50472	267/2203	1820/6051	-67.7511	-65.088	0.402951
SRX700365	TFs and others	Tfap2c	Breast	Mammary tumor	46004	161/2203	1400/6051	-67.6529	-65.0051	0.315872
ERX2604545	TFs and others	Mbd3	Pluripotent stem cell	ES cells	33505	162/2203	1400/6051	-67.3162	-64.6831	0.317833
SRX2762150	TFs and others	Kmt2b	Pluripotent stem cell	ES cells	14029	112/2203	1154/6051	-64.4488	-61.8299	0.266578
SRX4042634	TFs and others	Epitope tags	Uterus	Endometriotic lesions	13279	112/2203	1152/6051	-64.248	-61.6429	0.267041
SRX2894852	TFs and others	Ino80	Pluripotent stem cell	ES cells	32314	116/2203	1170/6051	-64.1195	-61.5278	0.272323
SRX4816219	TFs and others	Ash2l	Neural	Dorsal cortex	13875	115/2203	1164/6051	-63.8992	-61.3205	0.271367
SRX5131513	TFs and others	Gfi1	Neural	Medulloblastoma	10742	93/2203	1059/6051	-63.8111	-61.2449	0.241212
SRX2396659	TFs and others	Phf8	Prostate	Prostate	14991	121/2203	1188/6051	-63.6351	-61.0812	0.279757
