SRX518333	TFs and others	Nfya	Pluripotent stem cell	ES cells	2821	54/646	821/1381	-117.229	-113.115	0.140609
SRX878775	TFs and others	Ep300	Breast	3134	17573	101/646	876/1381	-95.0891	-91.2762	0.246478
SRX518334	TFs and others	Nfyb	Pluripotent stem cell	ES cells	1837	26/646	608/1381	-89.0993	-85.4625	0.0914178
SRX518335	TFs and others	Nfyc	Pluripotent stem cell	ES cells	2131	28/646	608/1381	-86.9316	-83.4197	0.09845
SRX671673	TFs and others	Fos	Neural	Cortical neuron	1526	36/646	633/1381	-85.2949	-81.88	0.121579
SRX878776	TFs and others	Ep300	Breast	3134	13225	40/646	620/1381	-78.7417	-75.4059	0.137921
SRX1284245	TFs and others	Zbtb16	Gonad	Spermatogonia	4306	78/646	734/1381	-75.9011	-72.6323	0.227175
SRX1284247	TFs and others	Zbtb16	Gonad	Spermatogonia	4479	89/646	761/1381	-74.708	-71.5483	0.250015
SRX032491	TFs and others	Nfya	Neural	Neurons	1525	27/646	548/1381	-74.3832	-71.2693	0.105328
SRX378972	TFs and others	Sp1	Pluripotent stem cell	mESCs, differentiated	8877	301/646	1163/1381	-65.8071	-62.7346	0.553284
SRX3582934	TFs and others	Stat5a	Liver	Liver	5431	36/646	539/1381	-64.3065	-61.2718	0.142782
SRX140389	TFs and others	Chd2	Blood	CH12	14996	236/646	1042/1381	-62.5441	-59.5441	0.484178
SRX032492	TFs and others	Nfya	Neural	Neurons	1155	22/646	432/1381	-54.8104	-51.8426	0.108868
ERX2604520	TFs and others	Chd4	Pluripotent stem cell	ES cells	62398	435/646	427/1381	-53.1581	-50.2203	2.17782
SRX1557408	TFs and others	Pbx1	Muscle	C2C12	7710	85/646	646/1381	-52.7814	-49.8716	0.281286
SRX1815524	TFs and others	Kat2a	Blood	B cells	9216	406/646	1264/1381	-51.7868	-48.9033	0.686657
SRX2901307	TFs and others	Creb1	Blood	Macrophages	10998	319/646	1141/1381	-51.5151	-48.6565	0.597677
SRX140392	TFs and others	Chd2	Blood	MEL	9841	187/646	893/1381	-51.0438	-48.2086	0.447663
SRX2901305	TFs and others	Creb1	Blood	Macrophages	12925	294/646	1093/1381	-49.718	-46.9051	0.575027
SRX671680	TFs and others	Fos	Neural	Cortical neuron	887	23/646	405/1381	-48.4945	-45.7028	0.121404
SRX2901314	TFs and others	Creb1	Blood	Macrophages	13576	327/646	1141/1381	-48.0033	-45.2318	0.612665
SRX1839213	TFs and others	Fos	Embryonic fibroblast	MEF	1007	26/646	413/1381	-47.687	-44.9348	0.134581
SRX023716	TFs and others	Paxip1	Blood	B cells	5963	42/646	476/1381	-47.3126	-44.5789	0.188627
SRX671660	TFs and others	Fos	Neural	Cortical neuron	841	23/646	396/1381	-46.8387	-44.1227	0.124163
SRX170715	TFs and others	Pknox1	Embryo	Embryonic trunk	1335	27/646	412/1381	-46.5645	-43.8656	0.140097
SRX1482287	TFs and others	Pbx1	Muscle	C2C12	3437	34/646	440/1381	-46.3636	-43.6811	0.165191
SRX2901308	TFs and others	Creb1	Blood	Macrophages	12720	400/646	1240/1381	-45.9985	-43.3317	0.689604
SRX442884	TFs and others	Pknox1	Embryonic fibroblast	MEF	3671	53/646	505/1381	-45.4855	-42.834	0.22436
SRX1284246	TFs and others	Zbtb16	Gonad	Spermatogonia	2483	63/646	537/1381	-45.2995	-42.6627	0.2508
SRX2901313	TFs and others	Creb1	Blood	Macrophages	13120	418/646	1260/1381	-45.1943	-42.5718	0.709197
SRX1815515	TFs and others	Wdr5	Blood	B cells	13615	436/646	1281/1381	-44.9626	-42.3538	0.72761
SRX1482288	TFs and others	Pbx1	Muscle	C2C12	4239	33/646	424/1381	-44.2046	-41.6092	0.166383
SRX4301434	TFs and others	Smarca4	Pluripotent stem cell	mESC derived cardiac cells	11562	270/646	182/1381	-43.8167	-41.2343	3.17142
SRX6831871	TFs and others	Rad21	Pluripotent stem cell	ES cells	30070	315/646	252/1381	-43.5366	-40.9668	2.67221
SRX1557407	TFs and others	Pbx1	Muscle	C2C12	18634	61/646	519/1381	-43.2159	-40.6583	0.25126
SRX759626	TFs and others	Pknox1	Pluripotent stem cell	ES cells	2042	36/646	427/1381	-42.5912	-40.0455	0.180234
SRX319743	TFs and others	Pbx1	Blood	Leukemia, Myeloid	3556	30/646	400/1381	-42.1226	-39.5885	0.160333
ERX112994	TFs and others	Stag2	Liver	Hepatocytes	36323	295/646	226/1381	-41.9757	-39.4529	2.79045
SRX6831870	TFs and others	Rad21	Pluripotent stem cell	ES cells	40047	445/646	504/1381	-41.9351	-39.4233	1.88752
SRX2901306	TFs and others	Creb1	Blood	Macrophages	12961	384/646	1203/1381	-41.7238	-39.2227	0.682381
SRX2901309	TFs and others	Creb1	Blood	Macrophages	10751	346/646	1145/1381	-41.4554	-38.9647	0.645999
SRX625489	TFs and others	Pknox1	Embryonic fibroblast	MEF	1282	28/646	387/1381	-41.1311	-38.6507	0.154671
SRX2901272	TFs and others	Smarca4	Blood	Macrophages	8614	288/646	219/1381	-41.059	-38.5885	2.81132
SRX3582935	TFs and others	Stat5a	Liver	Liver	4678	26/646	375/1381	-40.6834	-38.2227	0.148219
SRX3637353	TFs and others	Rela	Blood	Macrophages	6232	230/646	931/1381	-40.6374	-38.1862	0.528128
SRX625491	TFs and others	Pknox1	Embryonic fibroblast	MEF	5834	73/646	543/1381	-40.6107	-38.1689	0.287398
SRX1755829	TFs and others	Kdm4c	Blood	Granulocytic-monocytic progenitors	12240	400/646	419/1381	-40.4447	-38.012	2.04083
SRX319742	TFs and others	Pbx1	Blood	Leukemia, Myeloid	3459	37/646	414/1381	-39.7069	-37.2832	0.191057
SRX1411163	TFs and others	Tcf7	Blood	Gamma delta T cells	54298	163/646	63/1381	-39.1978	-36.7829	5.53106
SRX2901271	TFs and others	Smarca4	Blood	Macrophages	8758	309/646	262/1381	-38.9443	-36.538	2.52126
SRX671665	TFs and others	Fos	Neural	Cortical neuron	903	14/646	310/1381	-38.8904	-36.4925	0.0965445
SRX3581760	TFs and others	Rad21	Blood	Macrophages	26924	319/646	280/1381	-38.667	-36.2774	2.43553
SRX520199	TFs and others	Pbx1	Embryonic fibroblast	3T3-L1	6873	22/646	346/1381	-38.6141	-36.2326	0.135928
SRX3581758	TFs and others	Rad21	Blood	Macrophages	23112	237/646	156/1381	-38.0219	-35.6484	3.24777
SRX213793	TFs and others	Kdm4c	Pluripotent stem cell	ES cells	31049	437/646	509/1381	-37.9043	-35.5386	1.83538
SRX2901311	TFs and others	Creb1	Blood	Macrophages	15863	454/646	1282/1381	-37.8157	-35.4577	0.757058
SRX1629941	TFs and others	Pbx1	Embryo	Embryonic brains	1901	25/646	352/1381	-37.3672	-35.0167	0.15183
SRX671677	TFs and others	Fos	Neural	Cortical neuron	2625	18/646	320/1381	-37.228	-34.8849	0.12025
SRX2901312	TFs and others	Creb1	Blood	Macrophages	15978	459/646	1286/1381	-37.1748	-34.839	0.763015
SRX273225	TFs and others	Biotin	Blood	B cells	31065	360/646	361/1381	-36.8941	-34.5655	2.13185
SRX2901310	TFs and others	Creb1	Blood	Macrophages	18221	435/646	1255/1381	-36.659	-34.3375	0.74098
SRX5028181	TFs and others	Ppara	Liver	Liver	31014	289/646	244/1381	-35.6219	-33.3073	2.53203
SRX2498439	TFs and others	Epitope tags	Pluripotent stem cell	ES cells	26205	342/646	336/1381	-35.3863	-33.0786	2.17595
SRX6988648	TFs and others	Smc1a	Neural	Cerebellum	29905	212/646	133/1381	-35.0387	-32.7377	3.40757
SRX4347892	TFs and others	Ctcf	Epidermis	Ear dermal cells	49384	467/646	595/1381	-34.7392	-32.4448	1.67788
SRX2498435	TFs and others	Epitope tags	Pluripotent stem cell	ES cells	16694	301/646	268/1381	-34.6719	-32.3841	2.401
SRX3581756	TFs and others	Rad21	Blood	Macrophages	31819	309/646	282/1381	-34.6572	-32.3758	2.34245
SRX1602656	TFs and others	Kmt2b	Pluripotent stem cell	ES cells	11925	318/646	298/1381	-34.4269	-32.1518	2.28125
SRX2498437	TFs and others	Epitope tags	Pluripotent stem cell	ES cells	28659	374/646	401/1381	-34.3471	-32.0783	1.99383
SRX1284248	TFs and others	Sall4	Gonad	Spermatogonia	5559	34/646	370/1381	-34.1428	-31.8801	0.196444
SRX7809239	TFs and others	Suz12	Blood	Pro-B cells	9874	191/646	109/1381	-34.1284	-31.8718	3.746
SRX3120277	TFs and others	Rad21	Liver	Liver	22638	230/646	163/1381	-33.5971	-31.3465	3.01649
SRX1487064	TFs and others	Ctcf	Blood	Bone marrow stromal cells	37639	339/646	341/1381	-33.3601	-31.1154	2.12523
