SRX1114541	TFs and others	Brd4	Blood	MLL-AF9 leukemic cell	27842	580/2014	600/955	-68.7966	-64.684	0.458375
SRX1318193	TFs and others	Cebpe	Blood	Bone Marrow Cells	15944	148/2014	287/955	-55.0735	-51.262	0.244525
SRX1318197	TFs and others	Cebpe	Blood	Bone Marrow Cells	11878	110/2014	250/955	-53.7079	-50.0724	0.20864
SRX1114542	TFs and others	Whsc1l1	Blood	MLL-AF9 leukemic cell	25978	496/2014	507/955	-50.9097	-47.3992	0.463893
SRX1815528	TFs and others	Kmt2a	Blood	B cells	21404	1476/2014	425/955	-50.7566	-47.343	1.6468
SRX3219123	TFs and others	Epitope tags	Blood	RN2	23619	505/2014	497/955	-45.885	-42.5506	0.481813
SRX1815527	TFs and others	Hdac2	Blood	B cells	24495	1569/2014	492/955	-45.7471	-42.4796	1.51217
SRX1815538	TFs and others	Rad21	Blood	B cells	35668	1169/2014	296/955	-43.0314	-39.8219	1.87269
SRX1403502	TFs and others	Med1	Blood	MLL-AF9 leukemic cell	23273	398/2014	420/955	-40.8904	-37.7321	0.449343
SRX1403500	TFs and others	Brd4	Blood	MLL-AF9 leukemic cell	24033	401/2014	420/955	-40.2633	-37.1507	0.45273
SRX3637409	TFs and others	Cebpb	Blood	Macrophages	11962	104/2014	210/955	-40.0495	-36.9783	0.234832
SRX1815530	TFs and others	Ep300	Blood	B cells	5790	628/2014	95/955	-39.6429	-36.6095	3.13458
SRX4232707	TFs and others	Tet2	Blood	Hematopoietic cells	10684	144/2014	239/955	-38.3029	-35.3043	0.285699
SRX1403505	TFs and others	Med1	Blood	MLL-AF9 leukemic cell	21932	342/2014	377/955	-38.1589	-35.1925	0.430159
SRX4475707	TFs and others	Cebpa	Blood	Myeloid Progenitor Cells	11796	80/2014	182/955	-37.64	-34.7035	0.208431
SRX1403504	TFs and others	Med1	Blood	MLL-AF9 leukemic cell	11773	175/2014	261/955	-37.5071	-34.5986	0.317937
SRX3159190	TFs and others	Cebpa	Blood	Myeloid progenitors	7961	38/2014	136/955	-37.1149	-34.2328	0.132492
SRX5056006	TFs and others	Kdm1a	Blood	Hematopoietic progenitors	43529	533/2014	483/955	-36.7011	-33.8438	0.523268
SRX1403501	TFs and others	Brd4	Blood	MLL-AF9 leukemic cell	16315	265/2014	322/955	-36.6142	-33.7804	0.390242
SRX884072	TFs and others	Brd4	Blood	MLL-AF9 leukemic cell	16385	174/2014	257/955	-36.4732	-33.6617	0.321041
SRX4705109	TFs and others	Runx2	Blood	MLL-AF9 leukemic cell	23221	347/2014	372/955	-35.7136	-32.9232	0.442314
SRX3159199	TFs and others	Cebpa	Blood	Bone Marrow Cells	12567	65/2014	162/955	-35.6598	-32.8897	0.190258
SRX1630947	TFs and others	Spi1	Blood	Granulocytic-monocytic progenitors	14702	204/2014	276/955	-35.2902	-32.5394	0.350481
SRX1597806	TFs and others	Brd4	Blood	MLL-AF9 leukemic cell	21353	353/2014	374/955	-35.1796	-32.4472	0.447556
SRX4705099	TFs and others	Cebpa	Blood	MLL-AF9 leukemic cell	18922	75/2014	170/955	-35.0644	-32.3498	0.209197
SRX3637264	TFs and others	Cebpb	Blood	Macrophages	10872	70/2014	164/955	-34.612	-31.9144	0.202394
SRX2901300	TFs and others	Atf3	Blood	Macrophages	9440	114/2014	204/955	-34.5228	-31.8416	0.264983
SRX3637406	TFs and others	Cebpb	Blood	Macrophages	7595	45/2014	136/955	-33.7663	-31.1009	0.156898
SRX1403503	TFs and others	Med1	Blood	MLL-AF9 leukemic cell	16116	258/2014	308/955	-33.667	-31.0168	0.397203
SRX4475709	TFs and others	Cebpa	Blood	Myeloid Progenitor Cells	10994	75/2014	166/955	-33.4894	-30.8539	0.214238
SRX4705110	TFs and others	Runx2	Blood	MLL-AF9 leukemic cell	23047	351/2014	367/955	-33.4326	-30.8114	0.453508
SRX3637407	TFs and others	Cebpb	Blood	Macrophages	8976	76/2014	166/955	-33.1844	-30.5776	0.217095
SRX2755282	TFs and others	Rad21	Blood	B cells	40651	1236/2014	359/955	-33.1717	-30.5776	1.63256
SRX2901275	TFs and others	Cebpb	Blood	Macrophages	7253	50/2014	140/955	-32.9573	-30.3762	0.16935
SRX319882	TFs and others	Cebpa	Blood	Macrophages	14374	99/2014	186/955	-32.8152	-30.2467	0.252387
SRX760021	TFs and others	Cebpa	Blood	X18.1.1	20236	118/2014	202/955	-32.7259	-30.1696	0.276997
SRX1815539	TFs and others	Rad21	Blood	B cells	31814	981/2014	246/955	-32.7129	-30.1685	1.89094
SRX2980168	TFs and others	Cebpa	Blood	Leukemia, Myeloid	14555	77/2014	165/955	-32.3962	-29.8634	0.221284
SRX3637458	TFs and others	Jun	Blood	Macrophages	22584	207/2014	268/955	-32.1701	-29.6486	0.366252
SRX3219125	TFs and others	Epitope tags	Blood	RN2	10878	179/2014	247/955	-31.9294	-29.4189	0.343637
SRX4705102	TFs and others	Cebpa	Blood	MLL-AF9 leukemic cell	33841	149/2014	224/955	-31.7168	-29.217	0.315415
SRX376583	TFs and others	Brd4	Blood	MLL-AF9 leukemic cell	12624	211/2014	269/955	-31.5861	-29.0968	0.371941
SRX3637460	TFs and others	Jun	Blood	Macrophages	25484	272/2014	310/955	-31.51	-29.0309	0.416055
SRX3159195	TFs and others	Cebpa	Blood	Myeloblasts	12416	68/2014	154/955	-31.4889	-29.0198	0.209379
SRX7713760	TFs and others	Creb1	Breast	Mammary glands	58558	633/2014	517/955	-31.2833	-28.8239	0.580573
SRX2901283	TFs and others	Cebpd	Blood	Macrophages	7425	73/2014	158/955	-31.2494	-28.7996	0.219084
SRX019137	TFs and others	Cebpb	Blood	Macrophages	7409	39/2014	123/955	-31.1928	-28.7523	0.15035
SRX3637296	TFs and others	Rela	Blood	Macrophages	30067	512/2014	452/955	-31.0076	-28.5763	0.537125
