SRX6972723	TFs and others	Setd1a	Neural	Prefrontal Cortex	3328	53/179	694/1257	-9.83923	-5.72596	0.536289
SRX3637350	TFs and others	Rela	Blood	Macrophages	17279	68/179	780/1257	-8.73359	-4.92134	0.612205
SRX1892680	TFs and others	Runx1	Blood	416B	17847	82/179	847/1257	-7.40839	-3.78623	0.679849
SRX1629941	TFs and others	Pbx1	Embryo	Embryonic brains	1901	40/179	100/1257	-7.29744	-3.78623	2.80894
SRX2997656	TFs and others	Prdm13	Embryo	Neural tube	5090	68/179	749/1257	-7.12524	-3.71094	0.637543
SRX2486173	TFs and others	Epitope tags	Pluripotent stem cell	ES cells	13308	121/179	1062/1257	-6.54041	-3.20529	0.800098
SRX1892679	TFs and others	Runx1	Blood	416B	16663	90/179	881/1257	-6.45103	-3.18285	0.717379
SRX625489	TFs and others	Pknox1	Embryonic fibroblast	MEF	1282	40/179	112/1257	-6.1293	-2.91912	2.50798
SRX442884	TFs and others	Pknox1	Embryonic fibroblast	MEF	3671	55/179	189/1257	-5.94998	-2.79095	2.04354
SRX3637352	TFs and others	Rela	Blood	Macrophages	3924	35/179	469/1257	-5.80609	-2.73421	0.524056
SRX4669307	TFs and others	Epitope tags	Embryonic fibroblast	NIH/3T3	6175	31/179	76/1257	-5.73068	-2.69659	2.86438
SRX319742	TFs and others	Pbx1	Blood	Leukemia, Myeloid	3459	43/179	132/1257	-5.6802	-2.69221	2.28758
SRX1602947	TFs and others	Pbx1	Embryo	Embryonic brains	1336	31/179	77/1257	-5.65936	-2.69221	2.82718
SRX625491	TFs and others	Pknox1	Embryonic fibroblast	MEF	5834	60/179	225/1257	-5.47836	-2.54118	1.87263
SRX6767993	TFs and others	Eed	Pluripotent stem cell	ES cells	5225	12/179	11/1257	-5.41129	-2.50214	7.66074
SRX692974	TFs and others	Ikzf1	Blood	CD4 CD8 double negative cells	12610	98/179	907/1257	-5.31789	-2.458	0.758754
SRX3637294	TFs and others	Rela	Blood	Macrophages	29771	98/179	906/1257	-5.3042	-2.458	0.759592
SRX671673	TFs and others	Fos	Neural	Cortical neuron	1526	53/179	188/1257	-5.29252	-2.458	1.9797
SRX1482287	TFs and others	Pbx1	Muscle	C2C12	3437	47/179	158/1257	-5.23494	-2.43081	2.08893
SRX475274	TFs and others	Meis1	Blood	MLL-AF9 leukemic cell	7985	38/179	114/1257	-5.20647	-2.43081	2.34078
SRX2853352	TFs and others	Foxa1	Liver	Liver	864	9/179	5/1257	-5.16105	-2.43081	12.6402
SRX3734839	TFs and others	Suz12	Digestive tract	Intestinal villus	3068	9/179	5/1257	-5.16105	-2.43081	12.6402
SRX6768000	TFs and others	Cbx7	Pluripotent stem cell	ES cells	6910	12/179	12/1257	-5.15993	-2.43081	7.02235
SRX884083	TFs and others	Ep300	Blood	MLL-AF9 leukemic cell	51419	90/179	852/1257	-5.14385	-2.43081	0.741797
SRX977379	TFs and others	Pou5f1	Pluripotent stem cell	iPSC intermediates	26132	90/179	851/1257	-5.12911	-2.43081	0.742669
