SRX8012793	TFs and others	Esr1	Others	Fibroblasts	18868	56/162	1/65	-8.23143	-4.22011	22.4691
SRX8012789	TFs and others	Myc	Others	Fibroblasts	17745	54/162	1/65	-7.87386	-4.16357	21.6667
SRX9195279	TFs and others	Epitope tags	Pluripotent stem cell	ES cells	13307	43/162	0/65	-6.99301	-3.51828	inf
SRX2324494	TFs and others	Zfp384	Gonad	Spermatogonia	15603	68/162	5/65	-6.92754	-3.51828	5.45679
SRX8012788	TFs and others	Myc	Others	Fibroblasts	13429	48/162	1/65	-6.68156	-3.36921	19.2593
SRX4615042	TFs and others	Nr3c1	Cardiovascular	Lung endothelial cells	12357	40/162	0/65	-6.4068	-3.22502	inf
SRX7723648	TFs and others	Epitope tags	Embryonic fibroblast	MEF	19589	46/162	1/65	-6.35747	-3.22502	18.4568
SRX6003871	TFs and others	Tbp	Pluripotent stem cell	ES cells	53453	65/162	5/65	-6.33325	-3.22502	5.21605
SRX1486521	TFs and others	Myc	Liver	Liver tumor	20166	56/162	3/65	-6.23023	-3.17316	7.48971
SRX8693963	TFs and others	Smarca4	Blood	Neutrophils	27698	45/162	1/65	-6.10185	-3.16253	18.0556
SRX140395	TFs and others	Nelfe	Blood	MEL	16927	38/162	0/65	-6.09467	-3.16253	inf
SRX1501812	TFs and others	Pax6	Others	Alpha-TN4	9494	38/162	0/65	-6.09467	-3.16253	inf
SRX3342572	TFs and others	Nelfa	Embryonic fibroblast	MEF	17495	50/162	2/65	-5.97672	-3.07935	10.0309
SRX9311763	TFs and others	Egr2	Blood	Macrophages	29300	49/162	2/65	-5.92903	-3.06384	9.83025
SRX1486519	TFs and others	Myc	Liver	Liver tumor	15060	44/162	1/65	-5.80872	-2.98908	17.6543
SRX7799916	TFs and others	Sp1	Blood	CH12	12855	43/162	1/65	-5.79628	-2.98908	17.2531
SRX7723649	TFs and others	Epitope tags	Embryonic fibroblast	MEF	33459	58/162	4/65	-5.67079	-2.88992	5.8179
SRX11187698	TFs and others	Pgr	Uterus	Uterus	24486	42/162	1/65	-5.5343	-2.80174	16.8519
SRX7799915	TFs and others	Sp1	Blood	CH12	12468	42/162	1/65	-5.5343	-2.80174	16.8519
SRX4615043	TFs and others	Nr3c1	Cardiovascular	Lung endothelial cells	19581	60/162	5/65	-5.45859	-2.76928	4.81481
SRX1486522	TFs and others	Myc	Liver	Liver tumor	16909	47/162	2/65	-5.40538	-2.76928	9.42901
SRX1815527	TFs and others	Hdac2	Blood	B cells	24495	46/162	2/65	-5.38405	-2.76928	9.2284
SRX2901297	TFs and others	Jund	Blood	Macrophages	31927	46/162	2/65	-5.38405	-2.76928	9.2284
SRX6370142	TFs and others	Epitope tags	Blood	G1E	31134	51/162	3/65	-5.36879	-2.76928	6.82099
SRX10049402	TFs and others	Sumo1	Gonad	Ovary	23962	55/162	4/65	-5.36562	-2.76928	5.51698
SRX13793008	TFs and others	Jund	Embryonic fibroblast	MEF	47895	55/162	4/65	-5.36562	-2.76928	5.51698
SRX2404536	TFs and others	Sin3a	Pluripotent stem cell	NSC-derived iPS cells	9113	34/162	0/65	-5.26921	-2.74341	inf
SRX1815525	TFs and others	Hdac1	Blood	B cells	17911	40/162	1/65	-5.24671	-2.74341	16.0494
SRX2836972	TFs and others	Brd4	Adipocyte	Brown preadipocytes	20768	40/162	1/65	-5.24671	-2.74341	16.0494
SRX7799920	TFs and others	Sp1	Blood	CH12	11844	40/162	1/65	-5.24671	-2.74341	16.0494
SRX9195286	TFs and others	Epitope tags	Pluripotent stem cell	ES cells	12458	40/162	1/65	-5.24671	-2.74341	16.0494
SRX2071151	TFs and others	Pgr	Uterus	Uterus	24454	41/162	1/65	-5.23621	-2.74341	16.4506
SRX2774521	TFs and others	Myc	Embryonic fibroblast	MEF	15808	41/162	1/65	-5.23621	-2.74341	16.4506
SRX13793010	TFs and others	Jund	Embryonic fibroblast	MEF	49437	58/162	5/65	-5.16613	-2.68629	4.65432
SRX2774518	TFs and others	Myc	Embryonic fibroblast	MEF	18789	45/162	2/65	-5.1326	-2.66535	9.02778
SRX8119687	TFs and others	Rnf2	Embryonic fibroblast	C3H/10T1/2	23336	50/162	3/65	-5.09393	-2.63892	6.68724
SRX1036419	TFs and others	Ddx21	Pluripotent stem cell	ES cells	18755	49/162	3/65	-5.0782	-2.63509	6.5535
SRX9195293	TFs and others	Epitope tags	Pluripotent stem cell	ES cells	10048	32/162	0/65	-4.98742	-2.6018	inf
SRX1755829	TFs and others	Kdm4c	Blood	Granulocytic-monocytic progenitors	12240	39/162	1/65	-4.97982	-2.6018	15.6481
SRX2396660	TFs and others	Phf8	Prostate	Prostate	16361	39/162	1/65	-4.97982	-2.6018	15.6481
SRX4615041	TFs and others	Nr3c1	Cardiovascular	Lung endothelial cells	12802	39/162	1/65	-4.97982	-2.6018	15.6481
SRX5730166	TFs and others	Nipbl	Blood	B cells	11207	33/162	0/65	-4.96445	-2.6018	inf
SRX9195292	TFs and others	Epitope tags	Pluripotent stem cell	ES cells	12573	33/162	0/65	-4.96445	-2.6018	inf
SRX9519543	TFs and others	Hdac1	Blood	G1E	15190	33/162	0/65	-4.96445	-2.6018	inf
SRX657149	TFs and others	Med1	Pluripotent stem cell	iPS cells	21692	38/162	1/65	-4.94862	-2.6018	15.2469
SRX9311771	TFs and others	Egr2	Blood	Macrophages	16552	38/162	1/65	-4.94862	-2.6018	15.2469
SRX7713760	TFs and others	Creb1	Breast	Mammary glands	58558	81/162	12/65	-4.94102	-2.6018	2.70833
SRX6370145	TFs and others	Epitope tags	Blood	G1E	21652	43/162	2/65	-4.85136	-2.53303	8.62654
SRX017058	TFs and others	Nelfa	Pluripotent stem cell	ES cells	11060	44/162	2/65	-4.84922	-2.53303	8.82716
SRX6370146	TFs and others	Epitope tags	Blood	G1E	26978	53/162	4/65	-4.84242	-2.53303	5.31636
SRX1281904	TFs and others	Jun	Bone	Chondrocytes	39479	48/162	3/65	-4.82834	-2.53303	6.41975
SRX287023	TFs and others	Foxa2	Embryo	Embryonic pancreas	15680	48/162	3/65	-4.82834	-2.53303	6.41975
