SRX020179	TFs and others	Rxra	Liver	Liver	26158	216/308	8/133	-38.6671	-34.6664	11.6591
SRX020180	TFs and others	Rxra	Liver	Liver	30892	222/308	11/133	-37.392	-33.6923	8.71488
SRX020176	TFs and others	Rxra	Liver	Liver	36311	221/308	11/133	-37.1266	-33.603	8.67562
SRX2375601	TFs and others	Prox1	Liver	Liver	22210	200/308	5/133	-36.7835	-33.3848	17.2727
SRX950628	TFs and others	Cebpb	Liver	Liver	36477	225/308	13/133	-36.4902	-33.1884	7.47378
SRX6817423	TFs and others	Hnf4a	Liver	Liver	24867	212/308	9/133	-36.1713	-33.006	10.1717
SRX950626	TFs and others	Cebpb	Liver	Liver	33429	227/308	14/133	-36.1616	-33.006	7.00162
SRX2375608	TFs and others	Hnf4a	Liver	Liver	35908	223/308	13/133	-35.7585	-32.6609	7.40734
SRX5028170	TFs and others	Ncor1	Liver	Liver	32673	220/308	12/133	-35.7013	-32.6548	7.91667
SRX10659670	TFs and others	Hnf4a	Liver	Liver	22130	207/308	8/133	-35.5914	-32.5907	11.1733
SRX5028168	TFs and others	Ncor1	Liver	Liver	30250	215/308	11/133	-34.9579	-32.0363	8.44008
SRX5028172	TFs and others	Ncor1	Liver	Liver	32757	215/308	11/133	-34.9579	-32.0363	8.44008
SRX655369	TFs and others	Nfil3	Liver	Liver	15541	185/308	3/133	-34.844	-31.9572	26.6288
SRX5028181	TFs and others	Ppara	Liver	Liver	31014	226/308	15/133	-34.7634	-31.9088	6.50606
SRX10659672	TFs and others	Hnf4a	Liver	Liver	26450	214/308	11/133	-34.6932	-31.8686	8.40083
SRX661418	TFs and others	Nr3c1	Liver	Liver	19906	199/308	7/133	-34.1875	-31.3909	12.276
SRX2375602	TFs and others	Prox1	Liver	Liver	22246	191/308	5/133	-34.0892	-31.3189	16.4955
SRX020175	TFs and others	Rxra	Liver	Liver	33259	218/308	13/133	-34.0234	-31.2779	7.24126
SRX5028180	TFs and others	Ppara	Liver	Liver	29458	220/308	14/133	-33.6764	-30.9544	6.78571
SRX10659674	TFs and others	Hnf4a	Liver	Liver	23690	208/308	10/133	-33.5874	-30.8877	8.98182
SRX6817422	TFs and others	Hnf4a	Liver	Liver	24430	204/308	9/133	-33.4906	-30.8214	9.78788
SRX7198440	TFs and others	Hnf4a	Liver	Hepatocytes	17557	189/308	5/133	-33.4797	-30.8214	16.3227
SRX5028171	TFs and others	Ncor1	Liver	Liver	26423	207/308	10/133	-33.4001	-30.7611	8.93864
SRX10659673	TFs and others	Hnf4a	Liver	Liver	21405	203/308	9/133	-32.9909	-30.3995	9.7399
SRX1092954	TFs and others	Cebpa	Liver	Liver	25062	203/308	9/133	-32.9909	-30.3995	9.7399
SRX7198439	TFs and others	Hnf4a	Liver	Hepatocytes	20677	199/308	8/133	-32.9853	-30.3995	10.7415
SRX5142530	TFs and others	Ppara	Liver	Liver	32134	215/308	13/133	-32.9125	-30.3431	7.14161
SRX5028185	TFs and others	Ppara	Liver	Liver	32623	220/308	15/133	-32.7694	-30.2214	6.33333
SRX661416	TFs and others	Cebpb	Liver	Liver	44120	228/308	18/133	-32.7597	-30.2214	5.4697
SRX1092950	TFs and others	Cebpa	Liver	Liver	34777	211/308	12/133	-32.6605	-30.1369	7.5928
SRX265309	TFs and others	Nr3c1	Liver	Liver	24879	193/308	7/133	-32.3201	-29.8107	11.9058
SRX2375607	TFs and others	Hnf4a	Liver	Liver	34640	221/308	16/133	-32.1767	-29.6811	5.96449
SRX7815078	TFs and others	Hnf4a	Unclassified	Unclassified	16104	180/308	4/133	-32.0829	-29.6007	19.4318
