SRX499115	TFs and others	Pou5f1	Pluripotent stem cell	ES cells	19332	8/12	2/18	-2.38604	-0.0863869	6
SRX520463	TFs and others	Rxra	Pluripotent stem cell	F9	6801	5/12	0/18	-2.25511	-0.0863869	inf
SRX520480	TFs and others	Rxra	Pluripotent stem cell	F9	6079	5/12	0/18	-2.25511	-0.0863869	inf
SRX187199	TFs and others	Batf	Blood	Th17 Cells	20372	6/12	1/18	-2.06759	-0.0863869	9
SRX9295987	TFs and others	Epitope tags	Pluripotent stem cell	ES cells	16851	6/12	1/18	-2.06759	-0.0863869	9
SRX022697	TFs and others	Nipbl	Pluripotent stem cell	ES cells	4638	4/12	0/18	-1.74322	-0.0863869	inf
SRX10759306	TFs and others	Pax7	Neural	AtT-20	13208	4/12	0/18	-1.74322	-0.0863869	inf
SRX140364	TFs and others	Jun	Blood	CH12	11352	4/12	0/18	-1.74322	-0.0863869	inf
SRX188806	TFs and others	Rcor2	Blood	CH12	7666	4/12	0/18	-1.74322	-0.0863869	inf
SRX2031359	TFs and others	Ezh2	Pluripotent stem cell	ES cells	1648	4/12	0/18	-1.74322	-0.0863869	inf
SRX214079	TFs and others	Pou5f1	Pluripotent stem cell	ES cells	3769	4/12	0/18	-1.74322	-0.0863869	inf
SRX3858835	TFs and others	Rnf2	Epidermis	Epidermal progenitor cells	1672	4/12	0/18	-1.74322	-0.0863869	inf
SRX392731	TFs and others	Cebpa	Blood	HAFTL	10362	4/12	0/18	-1.74322	-0.0863869	inf
SRX398228	TFs and others	Epitope tags	Blood	Pro-B cells	4478	4/12	0/18	-1.74322	-0.0863869	inf
SRX4594905	TFs and others	Esrrb	Pluripotent stem cell	ES cells	5639	4/12	0/18	-1.74322	-0.0863869	inf
SRX482878	TFs and others	Rnf2	Pluripotent stem cell	ES cells	4504	4/12	0/18	-1.74322	-0.0863869	inf
SRX4950001	TFs and others	Rxra	Liver	Liver	6599	4/12	0/18	-1.74322	-0.0863869	inf
SRX5027384	TFs and others	Pcgf1	Pluripotent stem cell	ES cells	1091	4/12	0/18	-1.74322	-0.0863869	inf
SRX5054321	TFs and others	Epitope tags	Pluripotent stem cell	ES cells	7635	4/12	0/18	-1.74322	-0.0863869	inf
SRX695879	TFs and others	Snai2	Breast	MMTV-PyMT	5987	4/12	0/18	-1.74322	-0.0863869	inf
SRX7546911	TFs and others	Zic3	Pluripotent stem cell	ES cells	5679	4/12	0/18	-1.74322	-0.0863869	inf
SRX7546912	TFs and others	Zic3	Pluripotent stem cell	ES cells	9136	4/12	0/18	-1.74322	-0.0863869	inf
SRX7726473	TFs and others	Ep300	Blood	Natural Killer T-Cells	6900	4/12	0/18	-1.74322	-0.0863869	inf
SRX5426678	TFs and others	Nr3c1	Breast	Mammary glands	20272	0/12	7/18	-1.61635	-0.0863869	0
SRX6797039	TFs and others	Gata1	Blood	Erythroblasts	27219	0/12	7/18	-1.61635	-0.0863869	0
SRX8804960	TFs and others	Wt1	Kidney	Kidney Glomerulus	15021	0/12	7/18	-1.61635	-0.0863869	0
SRX8804962	TFs and others	Wt1	Kidney	Kidney Glomerulus	16887	0/12	7/18	-1.61635	-0.0863869	0
SRX475275	TFs and others	Meis1	Blood	MLL-AF9 leukemic cell	32033	8/12	4/18	-1.61373	-0.0863869	3
SRX121226	TFs and others	Suz12	Pluripotent stem cell	mESC derived neural cells	2142	5/12	1/18	-1.59235	-0.0863869	7.5
SRX1630947	TFs and others	Spi1	Blood	Granulocytic-monocytic progenitors	14702	5/12	1/18	-1.59235	-0.0863869	7.5
SRX187201	TFs and others	Batf	Blood	Th17 Cells	21078	5/12	1/18	-1.59235	-0.0863869	7.5
SRX381489	TFs and others	Rnf2	Pluripotent stem cell	ES cells	3227	5/12	1/18	-1.59235	-0.0863869	7.5
SRX4232697	TFs and others	Tet2	Pluripotent stem cell	ES cells	5584	5/12	1/18	-1.59235	-0.0863869	7.5
SRX4949978	TFs and others	Rxra	Liver	Liver	16736	5/12	1/18	-1.59235	-0.0863869	7.5
SRX5054328	TFs and others	GFP	Pluripotent stem cell	ES cells	6283	5/12	1/18	-1.59235	-0.0863869	7.5
SRX5086048	TFs and others	Batf	Blood	Th2 Cells	21360	5/12	1/18	-1.59235	-0.0863869	7.5
SRX7198449	TFs and others	Hnf4a	Liver	Hepatocytes	16976	5/12	1/18	-1.59235	-0.0863869	7.5
SRX9295986	TFs and others	Epitope tags	Pluripotent stem cell	ES cells	13225	5/12	1/18	-1.59235	-0.0863869	7.5
SRX12124851	TFs and others	Rnf2	Pluripotent stem cell	PGCLC	5172	6/12	2/18	-1.4666	-0.0863869	4.5
SRX520475	TFs and others	Rxra	Pluripotent stem cell	F9	12118	6/12	2/18	-1.4666	-0.0863869	4.5
SRX11141650	TFs and others	Hnf4a	Liver	Liver	25737	7/12	3/18	-1.3464	-0.0863869	3.5
SRX5028184	TFs and others	Ppara	Liver	Liver	25921	7/12	3/18	-1.3464	-0.0863869	3.5
SRX026255	TFs and others	Smad3	Pluripotent stem cell	ES cells	1456	3/12	0/18	-1.2661	-0.0863869	inf
SRX094449	TFs and others	Stat5a	Liver	Liver	5259	3/12	0/18	-1.2661	-0.0863869	inf
SRX094450	TFs and others	Stat5a	Liver	Liver	7552	3/12	0/18	-1.2661	-0.0863869	inf
SRX094451	TFs and others	Stat5a	Liver	Liver	5645	3/12	0/18	-1.2661	-0.0863869	inf
SRX094452	TFs and others	Stat5a	Liver	Liver	5710	3/12	0/18	-1.2661	-0.0863869	inf
SRX10150720	TFs and others	Batf	Blood	CD8+ T cells	7273	3/12	0/18	-1.2661	-0.0863869	inf
SRX1038471	TFs and others	Ebf1	Blood	Pro-B cells	3781	3/12	0/18	-1.2661	-0.0863869	inf
SRX104382	TFs and others	Ncaph2	Pluripotent stem cell	ES cells	1241	3/12	0/18	-1.2661	-0.0863869	inf
SRX1046534	TFs and others	Rag1	Blood	Thymocytes	6865	3/12	0/18	-1.2661	-0.0863869	inf
SRX10560004	TFs and others	Med12	Pluripotent stem cell	ES cells	2321	3/12	0/18	-1.2661	-0.0863869	inf
SRX10759308	TFs and others	Pax7	Neural	AtT-20	8067	3/12	0/18	-1.2661	-0.0863869	inf
SRX1080403	TFs and others	Smad2	Pluripotent stem cell	Embryoid Bodies	4073	3/12	0/18	-1.2661	-0.0863869	inf
SRX109473	TFs and others	Bmi1	Neural	Glioma	885	3/12	0/18	-1.2661	-0.0863869	inf
SRX11540061	TFs and others	Sox2	Pluripotent stem cell	EpiLC	618	3/12	0/18	-1.2661	-0.0863869	inf
SRX118173	TFs and others	Ppara	Liver	Liver	6970	3/12	0/18	-1.2661	-0.0863869	inf
SRX12124815	TFs and others	Rad21	Pluripotent stem cell	PGCLC	5860	3/12	0/18	-1.2661	-0.0863869	inf
SRX12124913	TFs and others	Rad21	Pluripotent stem cell	Germline stem cell-like cells 	4074	3/12	0/18	-1.2661	-0.0863869	inf
SRX12142050	TFs and others	Zic2	Pluripotent stem cell	mESCs, differentiated	3713	3/12	0/18	-1.2661	-0.0863869	inf
SRX12501556	TFs and others	Satb2	Muscle	C2C12	21971	3/12	0/18	-1.2661	-0.0863869	inf
SRX1372673	TFs and others	Pcgf2	Pluripotent stem cell	mESC derived neural cells	832	3/12	0/18	-1.2661	-0.0863869	inf
SRX1460837	TFs and others	Aff4	Unclassified	Unclassified	959	3/12	0/18	-1.2661	-0.0863869	inf
SRX148795	TFs and others	Biotin	Blood	Pro-B cells	14272	3/12	0/18	-1.2661	-0.0863869	inf
SRX1592541	TFs and others	Pou5f1	Pluripotent stem cell	ES cells	4117	3/12	0/18	-1.2661	-0.0863869	inf
SRX160503	TFs and others	Epitope tags	Pluripotent stem cell	ES cells	2717	3/12	0/18	-1.2661	-0.0863869	inf
SRX187252	TFs and others	Ep300	Blood	Th17 Cells	3943	3/12	0/18	-1.2661	-0.0863869	inf
SRX188820	TFs and others	Gabpa	Blood	CH12	4818	3/12	0/18	-1.2661	-0.0863869	inf
SRX191946	TFs and others	Gata4	Pluripotent stem cell	ES cells	3697	3/12	0/18	-1.2661	-0.0863869	inf
SRX2007468	TFs and others	Epitope tags	Pluripotent stem cell	ES cells	1610	3/12	0/18	-1.2661	-0.0863869	inf
SRX213829	TFs and others	Nanog	Pluripotent stem cell	ES cells	7738	3/12	0/18	-1.2661	-0.0863869	inf
SRX213830	TFs and others	Pou5f1	Pluripotent stem cell	ES cells	6839	3/12	0/18	-1.2661	-0.0863869	inf
SRX214076	TFs and others	Sox17	Pluripotent stem cell	ES cells	889	3/12	0/18	-1.2661	-0.0863869	inf
SRX214083	TFs and others	Pou5f1	Pluripotent stem cell	ES cells	7247	3/12	0/18	-1.2661	-0.0863869	inf
SRX218272	TFs and others	Epitope tags	Pluripotent stem cell	ES cells	4610	3/12	0/18	-1.2661	-0.0863869	inf
SRX218273	TFs and others	Biotin	Pluripotent stem cell	ES cells	4202	3/12	0/18	-1.2661	-0.0863869	inf
SRX2199819	TFs and others	Epitope tags	Pluripotent stem cell	ES cells	1533	3/12	0/18	-1.2661	-0.0863869	inf
SRX2236922	TFs and others	Nanog	Pluripotent stem cell	ES cells	7575	3/12	0/18	-1.2661	-0.0863869	inf
SRX2341418	TFs and others	Foxp3	Blood	Treg	7810	3/12	0/18	-1.2661	-0.0863869	inf
SRX2404539	TFs and others	Epitope tags	Pluripotent stem cell	NSC-derived iPS cells	5922	3/12	0/18	-1.2661	-0.0863869	inf
SRX2404542	TFs and others	Sin3a	Pluripotent stem cell	NSC-derived iPS cells	1309	3/12	0/18	-1.2661	-0.0863869	inf
SRX2433411	TFs and others	Hdac1	Blood	T cells	2827	3/12	0/18	-1.2661	-0.0863869	inf
SRX254819	TFs and others	Suz12	Pluripotent stem cell	mESCs, differentiated	1229	3/12	0/18	-1.2661	-0.0863869	inf
SRX2776968	TFs and others	Mtf2	Pluripotent stem cell	ES cells	1063	3/12	0/18	-1.2661	-0.0863869	inf
SRX2793941	TFs and others	Cdk8	Pluripotent stem cell	ES cells	2615	3/12	0/18	-1.2661	-0.0863869	inf
